,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.73,0.51,0.12,0.11,0.31,0.52,0.11,0.17,0.01,0.02,0.12,0.0,0.0,0.91,0.13,0.0,0.11,0.29
bionote.csv,0.04,0.1,0.18,0.0,0.04,0.06,0.0,0.0,0.1,0.02,0.07,0.23,0.9,0.12,0.04,0.12,0.12,0.0
buddata-ebxml-registry.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bullet.csv,0.67,0.42,0.29,0.28,0.99,0.29,0.57,0.52,0.37,0.62,0.43,0.55,0.4,0.56,0.63,0.0,0.52,0.52
bulmages.csv,0.0,0.05,0.29,0.0,0.22,0.19,0.0,0.88,0.06,0.05,0.11,0.07,0.0,0.34,0.09,0.09,0.01,0.22
bwapi.csv,0.36,0.59,0.59,0.59,0.71,0.4,0.41,0.57,0.23,0.5,0.98,0.2,0.36,0.42,0.48,0.0,0.46,0.3
cubefs.csv,0.25,0.54,0.24,0.51,0.43,0.4,0.43,0.38,0.98,0.66,0.16,0.51,0.52,0.43,0.55,0.65,0.65,0.22
emisview.csv,0.0,0.22,0.0,0.89,0.25,0.44,0.0,0.28,0.06,0.17,0.53,0.25,0.64,0.12,0.43,0.17,0.26,0.22
java-gnome.csv,0.29,0.18,0.5,0.3,0.45,0.6,0.0,0.17,0.2,0.97,0.35,0.38,0.42,0.54,0.32,0.12,0.46,0.36
jgameai.csv,0.38,0.93,0.05,0.2,0.36,0.63,0.05,0.61,0.38,0.36,0.52,0.18,0.43,0.09,0.46,0.0,0.36,0.44
megasquirtavr.csv,0.47,0.58,0.79,0.0,0.0,0.0,0.0,0.32,0.59,0.76,0.13,0.17,0.0,0.13,0.48,0.98,0.61,0.17
mp-rechnungs-und-kundenverwaltung.csv,0.57,0.05,0.43,0.16,0.41,0.51,0.53,0.42,0.35,0.56,0.53,0.93,0.55,0.6,0.31,0.28,0.31,0.48
mptvseries.csv,0.56,0.44,0.64,0.69,0.49,0.91,0.57,0.52,0.5,0.09,0.31,0.48,0.8,0.52,0.39,0.56,0.37,0.48
oorexx.csv,0.58,0.43,0.23,0.55,0.55,0.29,0.26,0.63,0.55,0.27,0.42,0.51,0.54,0.46,0.46,0.0,0.5,0.94
somap.csv,0.0,0.0,0.05,0.41,0.0,0.22,0.0,0.05,0.0,0.0,0.13,0.09,0.0,0.0,0.96,0.88,0.0,0.0
tktoolkit.csv,0.04,0.59,0.0,0.43,0.55,0.7,0.97,0.57,0.0,0.0,0.42,0.56,0.34,0.52,0.64,0.34,0.47,0.4
xharbour.csv,0.99,0.41,0.67,0.58,0.52,0.24,0.38,0.17,0.24,0.0,0.41,0.43,0.39,0.33,0.0,0.0,0.0,0.0
