,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.71,0.58,0.1,0.09,0.27,0.47,0.09,0.14,0.01,0.02,0.1,0.0,0.0,0.9,0.11,0.57,0.09,0.25
bionote.csv,0.03,0.08,0.15,0.0,0.03,0.05,0.0,0.0,0.08,0.02,0.06,0.19,0.88,0.1,0.03,0.1,0.1,0.0
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0
bullet.csv,0.7,0.46,0.25,0.26,0.99,0.26,0.7,0.52,0.32,0.6,0.4,0.6,0.38,0.63,0.68,0.62,0.46,0.86
bulmages.csv,0.0,0.04,0.25,0.0,0.19,0.16,0.0,0.86,0.05,0.04,0.09,0.06,0.0,0.3,0.07,0.07,0.01,0.19
bwapi.csv,0.86,0.73,0.7,0.78,0.91,0.63,0.74,0.76,0.86,0.84,0.99,0.89,1.0,0.77,0.89,0.98,0.58,0.97
cubefs.csv,0.21,0.58,0.2,0.87,0.39,0.37,0.57,0.38,0.99,0.67,0.13,0.77,0.75,0.4,0.53,0.6,0.6,0.19
emisview.csv,0.83,0.19,0.0,0.87,0.21,0.42,0.0,0.24,0.05,0.14,0.53,0.21,0.62,0.1,0.39,0.14,0.22,0.19
java-gnome.csv,0.25,0.15,0.45,0.26,0.42,0.58,1.0,1.0,0.17,0.98,0.36,0.34,0.38,0.53,0.28,0.1,0.42,0.33
jgameai.csv,0.34,0.92,0.9,0.17,0.34,0.68,0.04,0.71,0.6,0.33,0.54,0.15,0.38,0.07,0.43,0.29,0.31,0.42
megasquirtavr.csv,0.93,0.65,0.75,0.96,0.96,0.95,1.0,0.9,0.58,0.84,1.0,0.98,1.0,1.0,0.88,0.97,0.94,0.92
mp-rechnungs-und-kundenverwaltung.csv,0.7,0.04,0.45,0.13,0.49,0.63,0.87,0.86,0.32,0.53,0.65,0.91,0.5,0.67,0.26,0.24,0.27,0.53
mptvseries.csv,0.52,0.42,0.65,0.7,0.46,0.89,0.61,0.52,0.77,0.07,0.27,0.45,0.88,0.5,0.58,0.5,0.33,0.47
oorexx.csv,0.54,0.42,0.2,0.91,0.54,0.26,0.22,0.67,0.57,0.23,0.38,0.6,0.62,0.43,0.43,0.57,0.67,0.94
somap.csv,1.0,1.0,0.95,0.87,0.99,0.63,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.96,0.97
tktoolkit.csv,0.03,0.92,1.0,0.52,0.81,0.79,0.96,0.76,0.96,0.96,0.85,0.64,0.88,0.63,0.83,0.29,0.6,0.36
xharbour.csv,1.0,0.77,0.9,0.83,0.9,0.95,0.83,0.95,0.99,0.98,0.79,0.79,0.88,1.0,1.0,0.78,0.93,0.83
