,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.31,0.33,0.3,0.51,0.39,0.4
lazarus-ccr.csv,0.54,0.44,0.33,0.48,0.38,0.41
lcfizvtop.csv,0.35,0.81,0.6,0.81,0.9,0.83
migen.csv,0.71,0.55,0.83,0.77,0.67,0.43
mvnforum.csv,0.67,0.74,0.72,0.75,0.88,0.96
plplot.csv,0.41,0.49,0.55,0.7,0.71,0.49
