,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.56,0.43,0.57,1.0,0.54,0.62,0.51
emulemorph.csv,0.21,0.0,0.51,0.43,0.48,0.19,1.0
htmlunit.csv,0.44,0.29,0.68,0.52,0.24,0.95,0.53
jvcl.csv,0.0,0.0,0.9,0.05,0.02,0.01,0.0
m-m-m.csv,0.52,0.58,0.05,0.05,1.0,0.2,0.44
nh3d.csv,0.0,1.0,0.35,0.45,0.26,0.27,0.53
wgs-assembler.csv,0.98,0.0,0.14,0.45,0.05,0.11,0.2
