,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.04,0.29,0.19,1.0,0.36,0.26,0.36,0.0,0.29,0.0
flexpay.csv,0.16,0.41,0.95,0.18,0.23,0.44,0.65,0.29,0.3,0.42
jstock.csv,0.06,0.49,0.22,0.28,0.12,0.24,0.25,0.96,0.12,0.04
keyczar.csv,0.15,0.46,0.16,0.28,0.21,0.15,0.38,0.29,0.11,0.98
modellus.csv,0.17,0.55,0.34,0.25,0.54,0.97,0.58,0.3,0.2,0.25
open-data-kit.csv,0.31,0.56,0.26,0.45,0.37,0.62,1.0,0.55,0.12,0.44
phet.csv,0.96,0.65,0.22,0.48,0.15,0.33,0.57,0.34,0.21,0.84
qtractor.csv,0.21,0.98,0.27,0.3,0.55,0.64,0.45,0.48,0.17,0.04
sumatrapdf.csv,0.17,0.71,0.3,0.36,0.97,0.68,0.59,0.36,0.38,0.46
synergyspace.csv,0.16,0.29,0.2,0.13,0.34,0.3,0.19,0.0,0.98,0.15
