,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.03,0.18,0.17,1.0,0.26,0.15,0.22,0.0,0.23,0.0
flexpay.csv,0.2,0.36,0.92,0.19,0.23,0.48,0.71,0.46,0.46,0.31
jstock.csv,0.04,0.36,0.2,0.19,0.06,0.14,0.14,1.0,0.08,0.02
keyczar.csv,0.12,0.43,0.13,0.29,0.29,0.09,0.28,0.38,0.08,0.96
modellus.csv,0.17,0.46,0.49,0.19,0.81,0.94,0.45,0.23,0.23,0.15
open-data-kit.csv,0.48,0.5,0.57,0.62,0.29,0.65,1.0,0.62,0.15,0.29
phet.csv,0.93,0.89,0.38,0.95,0.19,0.33,0.58,0.77,0.42,0.9
qtractor.csv,0.28,0.96,0.45,0.24,0.45,0.53,0.32,0.38,0.15,0.02
sumatrapdf.csv,0.25,0.82,0.48,0.48,0.94,0.7,0.53,0.38,0.69,0.31
synergyspace.csv,0.14,0.18,0.18,0.1,0.29,0.19,0.12,0.0,0.96,0.08
