,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.04,0.21,0.2,1.0,0.3,0.18,0.26,0.0,0.27,0.0
flexpay.csv,0.23,0.39,0.93,0.22,0.26,0.43,0.42,0.47,0.48,0.32
jstock.csv,0.05,0.41,0.24,0.23,0.07,0.17,0.17,1.0,0.1,0.02
keyczar.csv,0.14,0.44,0.16,0.33,0.26,0.11,0.32,0.41,0.1,0.97
modellus.csv,0.2,0.5,0.52,0.22,0.64,0.95,0.5,0.27,0.27,0.18
open-data-kit.csv,0.48,0.53,0.53,0.57,0.33,0.63,1.0,0.65,0.18,0.34
phet.csv,0.94,0.0,0.41,0.09,0.2,0.34,0.42,0.44,0.4,0.61
qtractor.csv,0.31,0.97,0.48,0.28,0.5,0.57,0.37,0.43,0.18,0.02
sumatrapdf.csv,0.28,0.69,0.5,0.47,0.95,0.69,0.54,0.42,0.64,0.36
synergyspace.csv,0.17,0.21,0.21,0.12,0.33,0.23,0.14,0.0,0.97,0.1
