,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.44,0.37,0.39,0.65,0.86,0.65,0.7,0.6,0.9,0.51,0.92,1.0,0.63,0.1,0.85,0.83,0.44,0.31,0.65
dxengine.csv,0.27,0.22,0.27,0.7,0.37,0.3,0.27,0.4,0.1,0.12,0.0,0.83,0.27,0.07,0.35,0.0,0.27,0.31,0.56
e-bio-flow.csv,0.12,0.38,0.16,0.25,0.44,0.39,0.6,0.47,0.08,0.07,0.2,0.2,0.25,0.18,0.08,0.64,0.0,0.64,0.4
emono.csv,0.41,0.95,0.59,0.95,0.93,0.98,0.97,0.69,0.97,0.76,0.88,0.73,0.87,0.77,0.97,0.99,1.0,0.38,0.53
freedom-erp.csv,0.07,0.11,0.08,0.05,0.07,0.21,0.34,0.07,0.05,0.05,0.2,0.0,0.15,0.0,0.01,0.33,0.0,0.05,0.08
haggle.csv,0.27,0.37,0.27,0.3,0.2,0.21,0.21,0.21,0.35,0.49,0.28,0.07,0.31,0.05,0.33,0.01,0.24,0.05,0.76
jbpm.csv,0.15,0.17,0.02,0.0,0.07,0.02,0.13,0.04,0.06,0.0,0.06,0.0,0.15,0.0,0.08,0.06,0.0,0.0,0.06
jchassis.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0
jmoney.csv,0.15,0.33,0.45,0.2,0.68,0.51,0.45,0.27,0.35,0.17,0.3,0.63,0.56,0.4,0.03,0.16,0.17,0.81,0.44
jmonkeyengine.csv,0.63,0.76,0.78,0.7,0.58,0.39,0.59,0.79,0.65,0.85,0.18,0.37,0.63,0.98,0.73,0.09,0.83,0.95,0.92
jsidplay2.csv,0.56,0.35,0.43,0.25,0.49,0.95,0.86,0.39,0.18,0.46,0.9,0.63,0.38,0.18,0.23,0.96,0.27,0.24,0.84
log4net.csv,0.15,0.44,0.12,0.05,0.08,0.28,0.18,0.12,0.15,0.12,0.1,0.5,0.44,0.17,0.2,0.29,0.0,0.17,0.45
matrex.csv,0.22,0.19,0.04,0.15,0.19,0.22,0.23,0.11,0.02,0.0,0.14,0.4,0.38,0.0,0.17,0.17,0.02,0.12,0.0
mediate.csv,0.29,0.86,0.24,0.1,0.13,0.3,0.33,0.41,0.21,0.29,0.3,0.47,0.62,0.08,0.83,0.59,0.74,0.02,0.08
piccolo2d.csv,0.12,0.54,0.12,0.1,0.29,0.22,0.33,0.12,0.15,0.17,0.24,0.23,0.29,0.07,0.24,0.24,0.03,0.1,0.35
pustefix.csv,0.56,0.29,0.51,0.4,0.27,0.51,0.17,0.44,0.32,0.37,0.72,0.23,0.56,0.57,0.37,0.54,0.48,0.43,0.44
sblim.csv,0.22,0.03,0.0,0.05,0.18,0.13,0.02,0.08,0.06,0.0,0.12,0.0,0.15,0.52,0.03,0.17,0.05,0.83,0.37
thedata.csv,0.68,0.76,0.51,0.6,0.65,0.78,0.82,0.69,0.74,0.29,0.4,0.77,0.77,0.45,0.75,0.84,0.44,0.55,0.06
tmva.csv,0.88,0.9,0.57,1.0,0.81,0.99,0.98,0.82,0.85,1.0,1.0,1.0,0.92,0.32,1.0,1.0,0.74,0.19,1.0
