,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.17,0.6,0.12,0.11,0.42,0.0,0.03
kftpgrabber.csv,0.2,0.07,0.19,0.0,0.26,0.17,0.09
kindb.csv,0.39,0.4,0.06,0.39,0.32,0.4,0.34
m-a-d-n-e-s-s.csv,0.07,0.0,0.06,0.1,0.08,0.09,0.06
netatalk.csv,0.18,0.15,0.12,0.13,0.0,0.22,0.12
quickfast.csv,0.66,0.65,0.25,0.48,0.61,0.66,0.0
wow-qrsk.csv,0.0,0.22,0.0,0.68,0.05,0.32,0.06
