,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.08,0.4,0.12,0.27,0.36,0.94,0.21
kftpgrabber.csv,0.36,0.36,0.41,1.0,0.5,0.18,0.34
kindb.csv,0.76,0.64,0.94,0.77,0.64,0.24,0.77
m-a-d-n-e-s-s.csv,0.44,1.0,0.44,0.4,0.21,0.12,0.23
netatalk.csv,0.47,0.52,0.59,0.5,1.0,0.29,0.34
quickfast.csv,0.59,0.72,0.71,0.53,0.71,0.94,1.0
wow-qrsk.csv,0.96,0.24,0.21,0.6,0.21,0.29,0.3
