,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.99,0.57,0.83,0.87,0.71,0.88,0.91
kftpgrabber.csv,0.75,0.92,0.59,0.53,0.76,0.86,0.58
kindb.csv,0.4,0.38,0.33,0.36,0.38,0.5,0.32
m-a-d-n-e-s-s.csv,0.85,0.64,0.44,0.61,0.83,0.88,0.77
netatalk.csv,0.67,0.59,0.41,0.52,0.71,0.68,0.55
quickfast.csv,0.49,0.44,0.29,0.5,0.48,0.39,0.38
wow-qrsk.csv,0.84,0.79,0.86,0.53,0.8,0.73,0.69
