,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.24,1.0,1.0,0.0,0.4,0.33,0.0,0.11,0.29,0.21,0.08,0.0,0.33,0.0,0.0,0.23,0.46
baadengine.csv,1.0,0.06,0.98,0.02,0.61,0.33,0.28,0.26,0.18,0.39,0.11,0.04,0.2,0.25,0.81,0.52,0.85
bibedt.csv,0.88,0.08,0.95,0.04,0.71,0.33,0.61,0.33,0.27,0.92,0.18,0.0,1.0,0.1,0.95,0.75,0.9
exl.csv,0.84,0.04,0.97,0.03,0.74,0.31,0.4,0.28,0.23,0.62,0.13,0.18,0.4,0.3,0.84,0.38,1.0
gdis.csv,0.82,0.08,0.98,0.02,0.61,0.32,0.34,0.25,0.19,0.42,0.14,0.04,0.18,0.19,0.98,0.45,0.76
gogoego.csv,0.83,0.0,1.0,0.0,0.87,0.17,0.48,1.0,0.26,0.46,0.11,0.04,0.17,0.15,0.81,0.33,0.81
httpcontentparser.csv,0.79,0.0,0.9,0.0,0.38,0.17,0.57,0.18,0.25,1.0,0.95,0.0,0.14,0.04,0.74,0.29,0.53
jaxlib.csv,0.88,0.0,1.0,0.0,1.0,0.0,0.71,0.25,0.0,0.0,0.2,1.0,0.0,0.0,1.0,1.0,1.0
jgameai.csv,0.9,0.08,0.99,0.0,0.43,0.96,0.31,0.16,0.08,0.35,0.08,0.2,0.08,0.4,1.0,0.32,0.66
jhotdraw.csv,0.89,0.0,0.95,0.0,0.47,0.22,0.5,0.36,1.0,0.42,0.14,0.0,0.0,0.0,0.61,0.31,0.89
loki-lib.csv,0.82,0.0,0.97,0.02,0.78,0.24,0.31,0.33,0.18,0.55,0.11,0.06,0.22,0.24,0.8,1.0,1.0
patterntesting.csv,0.9,0.02,0.94,0.0,0.68,0.21,0.54,0.27,0.27,0.97,0.15,0.06,0.25,0.2,0.89,0.5,0.87
pokeglobal.csv,0.76,0.06,0.98,0.02,1.0,0.24,0.35,0.29,0.19,0.25,0.06,0.04,0.12,0.27,0.9,0.47,0.88
werx.csv,0.75,0.07,1.0,0.01,0.59,0.29,0.31,0.24,0.18,0.38,0.11,0.04,0.2,0.13,0.81,0.39,0.73
xbg.csv,0.65,0.0,0.95,0.17,0.6,0.33,0.67,0.3,0.18,0.4,0.0,0.0,0.0,1.0,0.8,0.08,0.5
zealos.csv,0.81,0.07,0.98,0.03,0.61,0.3,0.94,0.27,0.18,0.45,0.12,0.08,0.25,0.21,0.79,0.42,0.77
