,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,1.0,0.0,0.92,1.08,0.93,0.69,1.0,0.96,0.97,0.92,0.91,1.0,0.9,1.02,1.0,0.92,1.01
baadengine.csv,0.03,0.85,1.01,0.59,0.7,0.64,0.99,0.82,0.94,0.96,0.68,0.98,0.81,0.41,1.0,0.5,0.48
bibedt.csv,0.64,0.82,1.05,0.25,0.56,0.64,0.46,0.67,0.66,0.63,0.51,1.01,0.1,0.89,0.67,0.79,0.41
exl.csv,0.58,0.88,1.06,0.36,0.45,0.67,0.56,0.64,0.61,0.68,0.63,0.19,0.46,0.36,0.65,0.76,0.02
gdis.csv,0.61,0.68,1.01,0.52,0.77,0.66,0.81,0.85,0.95,0.83,0.7,0.9,0.79,0.53,0.08,0.63,0.92
gogoego.csv,0.55,1.03,0.83,1.02,0.69,0.9,0.43,0.07,0.73,0.69,0.86,0.72,0.77,0.7,1.0,0.8,0.72
httpcontentparser.csv,0.66,1.0,0.99,1.0,0.92,0.9,0.87,0.91,0.92,0.97,0.05,1.0,0.83,1.0,0.89,0.89,0.97
jaxlib.csv,0.99,1.0,0.99,1.0,0.95,1.0,0.83,0.99,1.0,1.0,0.95,0.0,1.0,1.0,0.79,0.97,0.98
jgameai.csv,0.69,0.69,0.7,1.07,0.88,0.02,1.0,0.86,0.96,0.81,0.82,0.51,0.94,0.75,0.95,0.93,0.98
jhotdraw.csv,0.56,1.01,0.94,1.03,0.87,0.84,0.87,0.72,0.08,0.85,0.7,1.0,1.07,1.11,0.97,0.83,0.63
loki-lib.csv,0.57,1.11,1.09,0.39,0.4,0.8,0.97,0.56,0.72,0.47,0.69,0.6,0.79,0.43,0.82,0.03,0.8
patterntesting.csv,0.51,1.05,1.07,1.09,0.58,0.9,0.42,0.67,0.58,0.04,0.57,0.65,0.59,0.66,0.52,0.62,0.46
pokeglobal.csv,0.69,0.8,0.67,0.49,0.05,0.79,0.7,0.63,0.75,0.97,0.9,0.9,0.87,0.54,0.42,0.72,0.83
werx.csv,0.99,0.97,0.01,0.98,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.01
xbg.csv,0.87,1.0,0.93,0.05,0.86,0.96,0.8,0.88,0.82,0.94,1.01,1.04,1.0,0.0,0.87,0.99,0.96
zealos.csv,0.57,0.72,0.73,0.3,0.67,0.7,0.04,0.66,0.73,0.64,0.67,0.55,0.59,0.49,0.77,0.66,0.68
