,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.97,0.8,0.94,0.9,0.9,0.97,0.0,0.97,0.86,0.95,0.96,0.0,0.67,0.91,0.0,0.92,0.92
baadengine.csv,0.45,0.4,0.37,0.46,0.43,0.47,0.57,0.37,0.34,0.45,0.5,0.29,0.45,0.54,0.36,0.53,0.5
bibedt.csv,0.64,0.92,0.62,0.65,0.45,0.62,0.61,0.67,0.7,0.83,0.6,0.83,0.89,0.9,0.65,0.88,0.4
exl.csv,0.62,0.68,0.48,0.62,0.46,0.6,0.58,0.48,0.5,0.69,0.59,0.91,0.53,0.65,0.49,0.75,0.45
gdis.csv,0.43,0.54,0.38,0.52,0.42,0.52,0.53,0.39,0.37,0.4,0.44,0.31,0.44,0.47,0.35,0.45,0.47
gogoego.csv,0.46,0.69,0.91,0.78,0.67,0.65,0.48,0.83,0.86,0.62,0.96,0.42,0.54,0.65,0.36,0.57,0.5
httpcontentparser.csv,0.65,0.75,0.9,0.5,0.9,0.9,0.86,0.98,0.95,0.0,0.95,0.75,0.67,0.75,0.62,0.64,0.93
jaxlib.csv,0.88,0.5,0.0,0.75,0.5,0.5,0.86,0.75,0.0,0.0,0.8,0.5,0.0,0.0,0.92,0.0,0.0
jgameai.csv,0.99,0.88,0.83,0.87,0.91,0.81,0.54,0.86,0.97,0.51,0.98,0.8,0.92,0.8,0.67,0.56,0.75
jhotdraw.csv,0.66,0.88,0.95,0.96,0.62,0.89,0.88,0.87,0.98,0.92,0.73,0.67,0.81,0.69,0.94,0.69,0.5
loki-lib.csv,0.53,0.5,0.46,0.45,0.41,0.45,0.56,0.42,0.47,0.32,0.56,0.35,0.46,0.52,0.37,0.61,0.75
patterntesting.csv,0.58,0.44,0.6,0.49,0.47,0.86,0.51,0.53,0.6,0.57,0.49,0.39,0.5,0.8,0.38,0.62,0.42
pokeglobal.csv,0.64,0.5,0.41,0.52,0.49,0.44,0.84,0.41,0.36,0.62,0.87,0.29,0.94,0.73,0.27,0.63,0.88
werx.csv,0.42,0.37,0.36,0.42,0.4,0.48,0.54,0.36,0.36,0.45,0.45,0.31,0.39,0.4,0.36,0.44,0.52
xbg.csv,0.81,0.5,0.95,0.83,0.9,0.67,0.89,0.97,0.81,0.8,0.95,0.64,0.0,0.88,0.9,0.92,0.75
zealos.csv,0.6,0.68,0.56,0.68,0.53,0.7,0.61,0.61,0.66,0.74,0.67,0.92,0.75,0.59,0.62,0.66,0.45
