,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.02,1.0,0.1,0.0,0.12,0.42,0.0,0.06,0.04,0.16,0.12,0.0,0.12,0.0,0.0,0.12,0.17
baadengine.csv,0.97,0.47,0.0,0.78,0.59,0.57,0.05,0.51,0.24,0.17,0.56,0.09,0.52,0.73,0.0,0.69,0.69
bibedt.csv,0.43,0.24,0.26,0.94,0.56,0.54,0.61,0.41,0.43,0.42,0.61,0.0,0.92,0.14,0.38,0.25,0.68
exl.csv,0.52,0.23,0.0,0.9,0.7,0.53,0.66,0.58,0.62,0.38,0.55,0.96,0.63,0.75,0.54,0.35,0.98
gdis.csv,0.7,0.56,0.0,0.82,0.56,0.54,0.52,0.45,0.21,0.49,0.66,0.36,0.51,0.69,0.97,0.65,0.3
gogoego.csv,0.72,0.0,0.2,0.0,0.37,0.18,0.76,0.94,0.33,0.41,0.18,0.5,0.42,0.42,0.0,0.46,0.36
httpcontentparser.csv,0.48,0.0,0.06,0.0,0.23,0.22,0.16,0.13,0.1,0.04,0.96,0.0,0.33,0.14,0.41,0.41,0.23
jaxlib.csv,0.01,0.0,0.01,0.0,0.06,0.0,0.2,0.01,0.0,0.0,0.06,1.0,0.0,0.0,0.25,0.04,0.02
jgameai.csv,0.37,0.43,0.39,0.0,0.27,1.0,0.0,0.28,0.06,0.5,0.29,0.55,0.12,0.29,0.06,0.38,0.34
jhotdraw.csv,0.51,0.0,0.12,0.0,0.39,0.26,0.16,0.34,0.93,0.2,0.39,0.0,0.0,0.0,0.22,0.41,0.44
loki-lib.csv,0.67,0.0,0.0,0.89,0.71,0.45,0.13,0.66,0.46,0.78,0.53,0.77,0.56,0.73,0.5,0.98,0.24
patterntesting.csv,0.56,0.22,0.24,0.0,0.57,0.14,0.68,0.53,0.53,0.97,0.68,0.73,0.64,0.42,0.6,0.49,0.67
pokeglobal.csv,0.52,0.41,0.55,0.84,0.96,0.4,0.41,0.61,0.57,0.35,0.18,0.36,0.23,0.54,0.77,0.35,0.2
werx.csv,0.05,0.13,0.99,0.09,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
xbg.csv,0.36,0.0,0.12,0.99,0.18,0.05,0.24,0.15,0.25,0.09,0.0,0.0,0.0,1.0,0.17,0.04,0.06
zealos.csv,0.6,0.43,0.48,0.92,0.54,0.48,0.97,0.56,0.43,0.5,0.57,0.54,0.59,0.71,0.5,0.54,0.56
