,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.03,1.0,0.15,0.0,0.16,0.36,0.0,0.07,0.06,0.16,0.09,0.0,0.15,0.0,0.0,0.14,0.22
baadengine.csv,0.98,0.11,0.93,0.03,0.64,0.42,0.42,0.4,0.3,0.56,0.19,0.08,0.32,0.38,0.9,0.61,0.77
bibedt.csv,0.53,0.11,0.41,0.07,0.61,0.41,0.59,0.35,0.32,0.52,0.28,0.0,0.95,0.11,0.49,0.32,0.76
exl.csv,0.61,0.07,0.77,0.05,0.72,0.39,0.51,0.38,0.34,0.43,0.21,0.31,0.48,0.43,0.66,0.34,0.99
gdis.csv,0.84,0.14,0.94,0.04,0.71,0.4,0.5,0.38,0.31,0.58,0.24,0.09,0.27,0.3,0.98,0.56,0.85
gogoego.csv,0.82,0.0,0.29,0.0,0.46,0.16,0.6,0.96,0.27,0.41,0.13,0.07,0.24,0.21,0.87,0.39,0.46
httpcontentparser.csv,0.58,0.0,0.09,0.0,0.26,0.18,0.22,0.14,0.12,0.06,0.95,0.0,0.19,0.06,0.55,0.35,0.29
jaxlib.csv,0.03,0.0,0.01,0.0,0.09,0.0,0.27,0.02,0.0,0.0,0.08,1.0,0.0,0.0,0.35,0.07,0.05
jgameai.csv,0.47,0.14,0.52,0.0,0.31,0.98,0.47,0.2,0.06,0.44,0.12,0.29,0.09,0.31,0.1,0.42,0.58
jhotdraw.csv,0.62,0.0,0.18,0.0,0.43,0.23,0.21,0.33,0.96,0.24,0.2,0.0,0.0,0.0,0.29,0.35,0.54
loki-lib.csv,0.77,0.0,0.71,0.05,0.74,0.32,0.46,0.45,0.25,0.68,0.19,0.12,0.35,0.36,0.76,0.98,0.33
patterntesting.csv,0.66,0.04,0.38,0.0,0.61,0.15,0.6,0.35,0.35,0.97,0.25,0.11,0.37,0.26,0.7,0.47,0.75
pokeglobal.csv,0.62,0.1,0.71,0.04,0.98,0.3,0.36,0.4,0.31,0.31,0.08,0.09,0.15,0.35,0.86,0.38,0.29
werx.csv,0.84,0.14,1.0,0.02,0.74,0.45,0.47,0.38,0.31,0.55,0.19,0.08,0.33,0.23,0.9,0.56,0.79
xbg.csv,0.44,0.0,0.18,0.29,0.24,0.07,0.31,0.17,0.19,0.11,0.0,0.0,0.0,1.0,0.24,0.05,0.09
zealos.csv,0.7,0.12,0.64,0.06,0.57,0.36,0.95,0.37,0.25,0.46,0.2,0.14,0.35,0.32,0.65,0.48,0.67
