,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.7,0.0,0.49,0.5,0.24,0.79,1.0,0.48,0.33,0.77,0.61,0.89,0.43
gamestone.csv,0.63,1.0,0.57,0.21,0.11,0.75,0.5,0.31,0.09,1.0,1.0,0.62,0.34
gbif-providertoolkit.csv,0.69,0.0,0.71,0.25,1.0,0.86,0.71,0.55,0.14,0.92,0.67,0.92,0.58
growl-for-windows.csv,0.67,0.17,0.6,0.32,0.23,0.74,0.42,0.47,0.24,0.91,0.7,1.0,0.39
gss.csv,0.65,0.23,0.51,0.32,0.24,0.67,0.37,0.41,0.21,0.95,1.0,0.67,0.44
heekscad.csv,0.99,0.24,0.56,0.36,0.24,0.74,0.41,0.39,0.24,0.97,0.82,0.56,0.39
igarden.csv,0.9,0.5,0.77,1.0,0.5,0.57,0.82,0.46,0.3,0.9,1.0,0.88,0.55
levent.csv,0.73,0.2,0.49,0.36,0.22,0.98,0.45,0.45,0.24,0.86,0.77,0.59,0.43
openmsx.csv,0.66,0.15,0.55,0.32,0.24,0.64,0.43,1.0,0.2,0.82,0.59,0.82,0.35
pnotepad.csv,0.69,0.17,0.5,0.33,0.18,0.77,0.38,0.41,0.21,1.0,0.6,0.72,0.46
quark.csv,0.9,0.0,0.62,0.5,0.2,0.0,1.0,0.58,0.92,0.8,0.58,0.67,0.44
tango-cs.csv,0.73,0.09,0.62,0.34,0.17,0.58,0.5,0.42,0.21,0.79,0.68,0.72,0.93
xcsoar.csv,0.82,0.1,0.98,0.34,0.19,0.9,0.41,0.5,0.28,1.0,0.67,0.71,0.45
