,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.62,0.0,0.43,0.49,0.53,0.26,1.0,0.21,0.68,0.42,0.4,0.52,0.47
gamestone.csv,0.19,1.0,0.27,0.16,0.09,0.07,0.17,0.14,0.1,0.15,0.24,0.17,0.31
gbif-providertoolkit.csv,0.3,0.0,0.11,0.12,0.94,0.42,0.28,0.38,0.1,0.29,0.09,0.38,0.19
growl-for-windows.csv,0.62,0.68,0.69,0.56,0.69,0.6,0.56,0.63,0.66,0.68,0.62,1.0,0.53
gss.csv,0.54,0.72,0.65,0.52,0.66,0.4,0.49,0.49,0.3,0.47,0.98,0.42,0.59
heekscad.csv,0.99,0.72,0.71,0.66,0.66,0.6,0.56,0.51,0.62,0.64,0.52,0.39,0.54
igarden.csv,0.29,0.15,0.21,0.92,0.17,0.1,0.48,0.11,0.27,0.23,0.24,0.44,0.31
levent.csv,0.66,0.7,0.64,0.64,0.64,0.96,0.6,0.53,0.65,0.59,0.38,0.43,0.45
openmsx.csv,0.61,0.43,0.63,0.53,0.7,0.43,0.57,0.95,0.5,0.48,0.54,0.76,0.44
pnotepad.csv,0.65,0.66,0.57,0.38,0.35,0.7,0.13,0.55,0.24,0.98,0.44,0.65,0.66
quark.csv,0.27,0.0,0.37,0.16,0.09,0.0,0.23,0.2,0.93,0.1,0.27,0.07,0.21
tango-cs.csv,0.62,0.28,0.47,0.48,0.33,0.17,0.23,0.41,0.3,0.45,0.47,0.4,0.96
xcsoar.csv,0.64,0.29,0.98,0.48,0.51,0.42,0.51,0.56,0.72,0.43,0.44,0.63,0.56
