,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.87,0.89,0.43,0.22,0.92,0.81,0.56,0.19,0.01,0.34,0.23,0.67,0.56,0.83,0.66,0.91,0.5,0.89,0.81,0.65
amygdala.csv,0.78,1.0,0.21,0.2,1.0,0.72,0.53,0.15,0.0,0.26,0.13,0.71,0.34,0.67,0.61,0.42,0.48,0.93,0.8,0.0
awemud.csv,0.82,0.8,0.21,0.13,0.81,0.89,0.39,0.14,0.0,0.0,0.14,0.71,0.5,0.69,0.56,0.6,0.5,0.75,0.78,0.57
bullet.csv,0.7,0.61,0.22,0.4,0.81,0.87,0.33,0.11,0.01,0.0,0.1,0.48,0.33,0.64,0.56,0.66,0.5,0.59,0.63,0.5
customwars.csv,0.86,0.8,0.14,1.0,0.79,0.8,0.51,0.15,0.01,0.0,0.21,0.65,0.58,0.71,0.6,0.76,0.53,0.62,0.74,0.75
dvd-create.csv,0.74,0.69,0.24,0.14,0.97,0.88,0.34,0.2,0.0,0.0,0.15,0.65,0.2,0.64,0.64,0.63,0.49,0.56,0.65,0.46
gbif-indexingtoolkit.csv,0.78,0.64,0.2,0.25,0.78,0.71,0.36,0.38,0.0,0.0,0.17,0.53,0.35,0.56,0.65,0.6,0.49,0.66,0.61,0.43
go.csv,0.74,0.84,0.28,0.16,0.89,0.84,0.49,0.15,0.0,0.0,0.15,0.6,0.39,0.7,0.65,0.68,0.5,0.91,0.71,0.56
growl-for-windows.csv,0.84,0.0,0.24,0.0,0.0,1.0,0.46,0.18,0.0,0.0,0.15,0.64,0.0,0.86,0.62,0.6,0.75,0.88,0.0,1.0
gss.csv,0.78,0.68,0.25,0.79,0.92,0.81,0.41,0.19,0.01,0.0,0.16,0.6,0.34,0.59,0.62,0.87,0.5,0.61,0.64,0.52
kwave.csv,0.78,0.64,0.41,0.25,0.8,0.8,0.39,0.19,0.0,0.36,0.15,0.49,0.3,0.62,0.63,0.73,0.5,0.59,0.59,0.42
libarchive.csv,0.81,0.64,0.28,0.15,0.85,0.82,0.42,0.18,0.01,0.24,0.15,0.66,0.43,0.61,0.62,0.87,0.47,0.63,0.7,0.67
linux-ntfs.csv,0.76,0.62,0.16,0.47,0.85,0.82,0.36,0.21,0.01,0.2,0.17,0.56,0.34,0.61,0.58,0.68,0.63,0.57,0.63,0.56
lsb.csv,0.82,0.63,0.16,0.76,0.81,0.83,0.41,0.24,0.01,0.0,0.16,0.5,0.64,0.64,0.6,0.62,0.5,0.67,0.6,0.52
mpgravity.csv,0.75,0.76,0.19,0.24,0.82,0.78,0.35,0.19,0.0,0.59,0.15,0.56,0.0,0.65,0.61,0.6,0.48,0.72,0.68,0.46
nativeclient.csv,0.79,0.85,0.35,0.11,0.94,0.87,0.46,0.16,0.01,0.28,0.22,0.58,0.46,0.73,0.59,0.73,0.52,0.62,0.77,0.51
qcad2.csv,0.79,0.86,0.55,0.23,0.9,0.77,0.54,0.18,0.0,0.5,0.18,0.42,0.56,0.61,0.66,0.61,0.49,0.75,0.65,0.53
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.19,0.03,0.29,0.14,0.75,0.36,0.75,0.65,0.83,0.6,0.67,0.79,0.0
roller.csv,0.77,0.7,0.22,0.2,0.8,0.75,0.36,0.18,0.0,0.35,0.18,0.52,0.28,0.85,0.6,0.59,0.45,0.72,0.6,0.42
xinity.csv,0.59,0.62,0.39,0.16,0.79,0.73,0.26,0.14,0.0,0.23,0.16,0.44,0.28,0.58,0.74,0.58,0.38,0.68,0.58,0.37
