,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.59,0.22,0.19,0.24,0.15,0.25,0.69,0.45,1.0,0.83,0.71,0.26,0.78,0.51,0.56,0.33,0.65,0.44,0.24,0.35
amygdala.csv,0.58,0.01,0.19,0.02,0.01,0.19,0.48,0.55,0.17,0.92,0.35,0.76,0.21,0.48,0.27,0.37,0.54,0.39,0.03,0.0
awemud.csv,0.76,0.8,0.31,0.27,0.78,0.24,0.77,0.45,0.83,0.0,0.71,0.58,0.68,0.79,0.46,0.2,0.65,0.42,0.19,0.65
bullet.csv,0.29,0.57,0.44,0.53,0.39,0.67,0.27,0.18,0.17,0.0,0.18,0.42,0.8,0.33,0.46,0.63,0.23,0.36,0.5,0.61
customwars.csv,0.54,0.3,0.19,0.2,0.15,0.49,0.44,0.27,0.83,0.0,0.47,0.29,0.68,0.39,0.71,0.53,0.31,0.28,0.19,0.43
dvd-create.csv,0.54,0.84,0.5,0.47,0.8,0.67,0.94,0.73,0.67,0.0,0.88,0.74,0.51,0.75,0.61,0.9,0.85,0.56,0.54,0.65
gbif-indexingtoolkit.csv,0.94,0.68,0.75,0.96,0.82,0.51,0.9,0.82,1.0,0.0,1.0,0.87,0.84,0.32,0.41,0.83,0.77,0.81,0.8,0.92
go.csv,0.73,0.75,0.56,0.22,0.53,0.54,0.83,0.64,0.67,0.0,0.82,0.74,0.51,0.68,0.78,0.63,0.73,0.86,0.54,0.71
growl-for-windows.csv,0.76,0.0,0.25,0.0,0.0,0.03,0.85,0.64,0.0,0.0,1.0,0.79,0.0,0.4,0.56,0.9,0.35,0.61,0.0,0.18
gss.csv,0.72,0.82,0.81,0.42,0.73,0.88,0.75,0.82,1.0,0.0,0.88,0.82,0.87,0.84,0.98,0.67,0.65,0.64,0.56,0.67
kwave.csv,0.79,1.0,0.56,1.0,1.0,0.54,0.94,0.82,0.67,0.33,0.88,0.61,0.89,0.84,0.95,0.73,0.77,0.61,1.0,1.0
libarchive.csv,0.65,1.0,0.44,0.56,0.86,0.81,0.77,0.91,0.83,0.92,0.94,0.61,0.88,0.93,0.98,0.43,0.77,0.72,0.57,0.61
linux-ntfs.csv,0.62,0.63,0.56,0.69,0.77,0.81,0.35,0.55,0.17,0.58,0.76,0.63,0.9,0.67,0.71,0.87,0.73,0.58,0.58,0.65
lsb.csv,0.74,0.72,0.56,0.71,0.86,0.79,0.67,0.64,0.83,0.0,0.94,0.84,0.61,0.6,0.68,0.93,0.77,0.78,0.57,0.67
mpgravity.csv,0.91,0.76,0.5,0.91,0.85,0.75,0.96,1.0,0.0,0.83,1.0,0.97,0.0,0.99,0.85,1.0,0.92,0.92,0.77,0.94
nativeclient.csv,0.68,0.59,0.5,0.16,0.45,0.39,0.94,0.55,1.0,0.83,0.59,0.55,0.86,0.69,0.63,0.53,0.88,0.28,0.64,0.76
qcad2.csv,0.62,0.47,0.38,0.78,0.49,0.4,0.77,0.64,0.83,0.67,0.94,0.21,0.66,0.61,0.9,0.9,0.77,0.67,0.84,0.8
qtwin.csv,0.08,0.0,0.0,0.0,0.0,0.04,0.08,0.45,1.0,0.17,0.29,0.08,0.14,0.4,0.32,0.17,0.35,0.06,0.07,0.0
roller.csv,0.81,0.89,0.81,0.69,0.95,0.84,0.94,0.73,0.33,0.75,0.76,0.89,0.88,0.71,0.71,0.87,0.85,0.92,0.78,1.0
xinity.csv,0.35,0.92,0.44,0.58,0.82,0.4,0.46,0.27,0.17,1.0,0.35,0.32,0.91,0.29,0.78,0.83,0.5,0.64,0.93,0.8
