,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.49,0.33,0.58,0.0,0.3,0.71,0.3,0.47,0.57,0.58,0.73,0.38
archive-crawler.csv,0.28,0.25,0.6,0.07,0.54,0.66,0.54,0.36,0.58,0.67,0.68,0.36
blue-c.csv,0.57,0.55,0.5,0.0,0.76,0.82,0.61,0.68,0.49,0.54,0.74,0.32
dynalloy.csv,0.47,0.75,0.52,0.0,0.54,0.52,0.5,0.5,0.64,0.61,0.66,0.46
jcae.csv,0.45,0.25,0.87,0.07,0.39,0.64,0.35,0.41,0.29,0.62,0.37,0.43
kmatplot.csv,0.82,0.38,0.69,0.32,0.13,0.76,0.42,0.47,0.37,0.59,0.55,0.09
mscore.csv,0.65,0.05,0.17,0.46,0.77,0.77,0.7,0.68,0.49,0.41,0.13,0.41
nosleepsoftware.csv,0.12,0.0,0.26,0.65,0.0,0.0,0.18,0.12,0.04,0.16,0.06,0.0
openmalaria.csv,0.73,0.57,0.24,0.57,0.68,0.74,0.74,0.78,0.64,0.59,0.4,0.59
popeye-chess.csv,0.62,0.37,0.52,0.22,0.68,0.61,0.61,0.58,0.61,0.66,0.6,0.57
riff-evolve.csv,0.68,0.47,0.55,0.0,0.68,0.42,0.43,0.38,0.68,0.5,0.52,0.68
virtuoso.csv,0.54,0.0,0.21,0.0,0.53,0.0,0.46,0.0,0.17,0.09,0.41,0.54
