,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.59,0.97,0.66,0.75,0.85,0.55,0.75,0.7,0.7,0.65,0.62,0.93
archive-crawler.csv,0.81,0.87,0.88,0.86,0.5,0.46,0.48,0.82,0.69,0.55,0.48,0.95
blue-c.csv,0.41,0.46,0.34,0.62,0.53,0.5,0.47,0.54,0.49,0.48,0.39,0.39
dynalloy.csv,0.45,0.65,0.48,0.68,0.67,0.73,0.68,0.55,0.64,0.46,0.42,0.61
jcae.csv,0.56,0.77,0.62,0.64,0.44,0.4,0.6,0.62,0.83,0.44,0.56,0.89
kmatplot.csv,0.53,0.51,0.38,0.4,0.83,0.36,0.59,0.57,0.53,0.42,0.41,0.4
mscore.csv,0.41,0.39,0.29,0.45,0.48,0.41,0.43,0.45,0.4,0.38,0.32,0.37
nosleepsoftware.csv,0.75,0.67,0.75,0.61,0.0,0.67,0.95,0.86,0.75,0.89,0.88,0.67
openmalaria.csv,0.41,0.39,0.29,0.33,0.38,0.34,0.37,0.4,0.36,0.39,0.3,0.32
popeye-chess.csv,0.55,0.71,0.45,0.55,0.47,0.43,0.43,0.5,0.66,0.49,0.37,0.41
riff-evolve.csv,0.48,0.66,0.29,0.69,0.45,0.64,0.56,0.68,0.54,0.53,0.44,0.34
virtuoso.csv,0.43,0.39,0.31,0.43,0.59,0.42,0.41,0.4,0.44,0.35,0.33,0.56
