,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.84,0.77,0.24,0.65,0.46,0.76,0.51,0.86,0.69,0.72,0.64,0.74,0.35,0.69,0.74
amateur-scrolls.csv,0.24,0.03,0.21,0.3,0.08,0.08,0.19,0.11,0.51,0.25,0.18,0.09,0.15,0.15,0.49
biopax.csv,0.99,0.7,1.0,1.0,0.96,1.0,0.94,1.0,1.0,1.0,1.0,0.98,0.1,1.0,1.0
crux-framework.csv,0.17,0.03,0.22,0.22,0.08,0.12,0.15,0.27,0.04,0.21,0.45,0.34,0.15,0.15,0.11
exl.csv,0.41,0.37,0.54,0.52,0.31,0.29,0.4,0.32,0.45,0.5,0.46,0.34,0.35,0.0,0.79
ikvm.csv,0.68,0.17,0.42,0.63,0.73,0.84,0.77,0.78,0.78,0.38,0.6,0.6,0.6,0.85,0.59
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
les-indemodables.csv,0.61,0.57,0.8,0.39,0.23,0.43,0.35,0.19,0.69,0.97,0.55,0.31,0.3,0.23,0.72
lportal.csv,0.03,0.07,0.09,0.0,0.0,0.06,0.0,0.03,0.09,0.18,0.06,0.31,0.0,0.15,0.05
ns-3-dev-def-routing.csv,0.36,0.53,0.8,0.26,0.19,0.39,0.37,0.24,0.56,0.77,0.33,0.66,0.1,0.31,0.82
qpe.csv,0.28,0.1,0.38,0.11,0.38,0.51,0.85,0.57,0.05,0.32,0.58,0.28,0.25,0.0,0.47
sigil.csv,0.32,0.67,0.56,0.83,0.23,0.41,0.56,0.24,0.33,0.67,0.6,0.46,0.1,0.62,0.91
ultimairis.csv,0.13,0.93,0.85,0.17,0.12,0.61,0.19,0.03,0.64,1.0,0.38,0.0,0.15,0.62,0.63
unflobtactical.csv,0.37,0.4,0.74,0.57,0.31,0.37,0.73,0.3,0.84,0.69,0.47,0.92,0.5,0.46,0.95
xbg.csv,0.5,0.3,0.06,0.28,0.58,0.61,0.22,0.57,0.24,0.23,0.11,0.45,0.3,0.69,0.06
