,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.46,0.45,0.64,0.71,0.79,0.53,0.66,0.44,0.69,0.62,0.52,0.59,0.54,0.63,0.64
amateur-scrolls.csv,0.59,0.0,0.49,0.66,0.39,0.23,0.38,0.64,0.4,0.17,0.31,0.1,0.4,0.69,0.36
biopax.csv,0.05,0.63,0.0,0.0,0.17,0.0,0.24,0.0,0.0,0.0,0.0,0.09,0.87,0.0,0.0
crux-framework.csv,0.21,0.46,0.21,0.18,0.11,0.27,0.37,0.35,0.0,0.47,0.53,0.17,0.09,0.28,0.98
exl.csv,0.65,0.52,0.45,0.64,0.41,0.42,0.46,0.61,0.28,0.4,0.54,0.68,0.57,0.8,0.57
ikvm.csv,0.39,0.89,0.41,0.39,0.45,0.44,0.55,0.27,0.51,0.14,0.39,0.33,0.38,0.2,0.34
irrlicht.csv,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
les-indemodables.csv,0.62,0.45,0.48,0.56,0.65,0.55,0.48,0.6,0.58,0.13,0.58,0.66,0.74,0.74,0.52
lportal.csv,0.06,0.21,0.15,0.0,0.24,0.06,0.0,0.18,0.15,0.75,0.12,0.56,0.13,0.39,0.38
ns-3-dev-def-routing.csv,0.64,0.6,0.51,0.53,0.71,0.58,0.58,0.74,0.57,0.58,0.62,0.62,0.66,0.76,0.52
qpe.csv,0.72,0.37,0.5,0.18,0.43,0.6,0.45,0.65,0.43,0.62,0.59,0.17,0.18,0.26,0.85
sigil.csv,0.73,0.56,0.74,0.51,0.77,0.56,0.63,0.8,0.63,0.69,0.63,0.68,0.56,0.72,0.33
ultimairis.csv,0.18,0.27,0.47,0.59,0.17,0.63,0.67,0.1,0.68,0.0,0.47,0.0,0.28,0.66,0.75
unflobtactical.csv,0.74,0.7,0.57,0.62,0.71,0.6,0.57,0.82,0.46,0.66,0.59,0.3,0.71,0.68,0.21
xbg.csv,0.29,0.31,0.02,0.18,0.43,0.47,0.51,0.31,0.85,0.13,0.07,0.33,0.17,0.17,0.0
