,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.47,0.47,0.53,0.51
google-caja.csv,0.38,0.33,0.37,0.34
itext.csv,0.38,0.33,0.33,0.33
plee-the-bear.csv,0.51,0.38,0.32,0.47
