,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.27,0.44,0.5,0.97,0.28,0.69,0.36,0.44,0.64,0.55,0.79,0.34
autowikibrowser.csv,0.46,0.74,0.57,0.58,0.47,0.62,0.64,0.56,0.65,0.98,0.82,0.65
cities3d.csv,0.2,0.61,0.42,0.26,0.55,0.96,0.55,0.34,0.21,0.37,0.58,0.37
firebird.csv,0.37,0.62,0.98,0.57,0.6,0.57,0.51,0.72,0.45,0.64,0.58,0.48
hydrogen.csv,0.54,0.48,0.52,0.41,0.2,0.7,1.0,0.44,0.36,0.31,0.57,0.34
lphant.csv,0.68,0.66,0.56,0.61,0.41,0.69,0.59,0.53,0.96,0.69,0.84,0.53
qgo.csv,0.2,1.0,0.43,0.4,0.12,0.52,0.43,0.63,0.5,0.41,0.21,0.37
quickfast.csv,0.8,0.61,0.59,0.63,0.7,0.52,0.47,0.52,0.63,0.71,0.54,1.0
rhex.csv,0.86,0.64,0.45,0.57,0.56,0.66,0.55,0.35,0.54,0.69,0.79,0.13
rocrail.csv,0.29,0.27,0.32,0.31,0.17,0.43,0.55,0.24,0.11,0.29,0.93,0.25
xined.csv,0.0,0.52,0.07,0.4,0.06,0.48,0.49,1.0,0.27,0.13,0.17,0.11
yield.csv,0.58,0.68,0.62,0.61,0.98,0.63,0.75,0.7,0.67,0.77,0.81,0.64
