,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.1,0.43,0.53,0.97,0.37,0.31,0.28,0.3,0.58,0.52,0.49,0.39
autowikibrowser.csv,0.28,0.73,0.58,0.51,0.5,0.18,0.39,0.3,0.61,0.98,0.53,0.71
cities3d.csv,0.12,0.62,0.48,0.48,0.54,0.97,0.43,0.3,0.22,0.45,0.42,0.43
firebird.csv,0.26,0.62,0.99,0.51,0.6,0.18,0.22,0.41,0.45,0.6,0.43,0.58
hydrogen.csv,0.36,0.46,0.53,0.44,0.26,0.33,1.0,0.35,0.39,0.34,0.41,0.42
lphant.csv,0.36,0.63,0.57,0.5,0.63,0.22,0.38,0.34,0.98,0.68,0.55,0.59
qgo.csv,0.19,1.0,0.5,0.43,0.17,0.17,0.43,0.48,0.56,0.48,0.21,0.45
quickfast.csv,0.35,0.58,0.61,0.52,0.68,0.14,0.24,0.27,0.59,0.66,0.32,1.0
rhex.csv,0.91,0.61,0.48,0.49,0.57,0.27,0.43,0.35,0.58,0.66,0.55,0.19
rocrail.csv,0.29,0.35,0.39,0.37,0.25,0.41,0.53,0.21,0.16,0.39,0.95,0.34
xined.csv,0.0,0.51,0.1,0.4,0.09,0.44,0.42,1.0,0.33,0.17,0.18,0.14
yield.csv,0.27,0.66,0.62,0.52,0.99,0.18,0.37,0.39,0.61,0.72,0.51,0.68
