,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.45,0.17,0.45,0.26,0.69,0.39,0.0,0.35,0.75,0.5
gamestone.csv,0.13,0.0,0.13,0.1,0.07,0.35,0.08,0.12,0.06,0.0
gbif-providertoolkit.csv,0.11,0.06,0.0,0.1,0.0,0.09,0.15,0.08,0.08,0.1
heekscad.csv,0.04,0.46,0.45,0.6,0.69,0.57,0.61,0.44,0.67,0.3
igarden.csv,0.02,0.08,0.07,0.0,0.03,0.17,0.04,0.1,0.13,0.0
levent.csv,0.64,0.54,0.52,0.62,0.54,0.0,0.61,0.5,0.35,0.4
owlapi.csv,0.15,0.27,0.13,0.07,0.21,0.17,0.14,0.0,0.06,0.2
pnotepad.csv,0.53,0.4,0.62,0.54,0.76,0.39,0.61,0.64,1.0,0.0
quark.csv,0.06,0.06,0.07,0.04,0.06,0.0,0.0,0.04,0.0,0.0
xcsoar.csv,0.28,0.44,0.01,0.33,0.39,0.22,0.3,0.31,0.69,0.0
