,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.62,0.52,0.56,0.55,0.51,0.41,0.35,0.45,0.43,0.33,0.22,0.76,0.52,0.25
biopax.csv,0.96,1.0,1.0,0.98,0.92,0.9,0.95,0.91,1.0,1.0,0.84,0.97,1.0,0.79
gnupdate.csv,0.65,0.75,0.31,0.92,0.83,0.64,0.8,0.45,0.91,0.33,0.65,0.86,0.71,0.65
les-indemodables.csv,0.65,0.75,0.94,0.63,0.8,0.2,0.5,0.18,0.66,0.67,0.59,0.68,0.29,0.83
openxava.csv,0.46,0.12,0.62,0.43,0.56,0.32,0.15,0.45,0.62,1.0,0.57,0.51,0.11,0.15
ppcboot.csv,0.92,1.0,1.0,0.96,0.92,0.58,1.0,0.73,0.77,1.0,0.78,0.92,0.98,0.79
repositorium.csv,0.08,0.02,0.56,0.08,0.01,0.1,0.0,0.82,0.04,1.0,0.32,0.16,0.27,0.27
rsyslog.csv,0.73,0.78,0.81,0.78,0.72,0.47,0.5,1.0,0.45,1.0,0.62,0.3,1.0,0.18
simplewebservices.csv,1.0,0.8,0.81,0.84,0.98,1.0,1.0,0.82,0.94,1.0,1.0,1.0,0.65,0.3
ultimairis.csv,0.96,1.0,0.69,0.84,0.87,0.98,1.0,0.18,0.64,0.0,0.41,0.35,0.78,0.55
vars-redux.csv,0.54,0.5,0.88,0.8,0.72,0.37,0.5,0.73,0.57,1.0,0.65,0.92,0.47,0.58
wow-qrsk.csv,0.08,0.48,0.62,0.73,0.85,0.28,0.05,0.0,0.02,1.0,0.03,0.95,0.19,0.31
wxstudio.csv,0.54,0.22,0.12,0.49,0.3,0.64,0.4,0.64,0.47,0.0,0.7,0.08,0.02,0.17
xqilla.csv,0.04,0.08,0.06,0.33,0.32,0.1,0.1,0.36,0.19,1.0,0.27,0.03,0.14,0.13
