,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.7,0.41,0.33,0.57,0.42,0.73,0.44,0.24,0.59,0.03,0.47,0.47,0.45,0.95
biopax.csv,0.57,0.28,0.11,0.42,0.23,0.53,0.19,0.11,0.33,0.02,0.42,0.38,0.41,1.0
gnupdate.csv,0.57,0.41,0.08,0.45,0.17,0.53,0.48,0.07,0.32,0.03,0.46,0.37,0.5,0.78
les-indemodables.csv,0.65,0.26,0.11,0.45,0.29,0.43,0.24,0.09,0.33,0.03,0.41,0.56,0.48,0.83
openxava.csv,0.86,0.42,0.18,0.52,0.18,0.41,0.09,0.1,0.28,0.07,0.66,0.7,0.34,0.85
ppcboot.csv,0.56,0.34,0.11,0.42,0.25,0.69,0.2,0.13,0.45,0.02,0.4,0.36,0.41,0.89
repositorium.csv,0.67,1.0,0.2,0.44,0.02,0.59,0.0,0.24,0.11,0.03,0.41,0.32,0.33,0.66
rsyslog.csv,0.73,0.29,0.09,0.43,0.3,0.5,0.38,0.14,0.38,0.03,0.61,0.48,0.41,0.87
simplewebservices.csv,0.52,0.26,0.16,0.44,0.19,0.53,0.19,0.09,0.3,0.03,0.47,0.36,0.58,0.81
ultimairis.csv,0.54,0.28,0.12,0.46,0.25,0.53,0.19,0.5,0.58,0.0,0.34,0.68,0.39,0.91
vars-redux.csv,0.7,0.28,0.11,0.62,0.34,0.48,0.17,0.15,0.29,0.04,0.57,0.42,0.47,0.95
wow-qrsk.csv,1.0,0.38,0.15,0.6,0.43,0.85,1.0,0.0,0.25,0.04,1.0,0.39,0.58,0.85
wxstudio.csv,0.61,0.21,0.25,0.44,0.08,0.47,0.2,0.16,0.22,0.0,0.7,0.38,0.67,0.48
xqilla.csv,1.0,0.07,1.0,0.35,0.14,0.36,0.09,0.07,0.19,0.3,0.62,1.0,0.48,0.53
