,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.2,0.97,0.19,0.23,0.07,0.24
jruby.csv,0.66,0.58,0.63,0.69,0.46,1.0
pdfedit.csv,0.43,0.52,0.56,1.0,0.38,0.4
rectracker.csv,0.3,0.17,0.97,0.47,0.73,0.21
wxlua.csv,0.28,0.46,0.37,0.62,0.97,0.51
x4x.csv,0.94,0.49,0.38,0.26,0.36,0.47
