,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.88,0.58,0.89,0.92,0.8,0.78
jruby.csv,0.36,0.48,0.32,0.44,0.48,0.48
pdfedit.csv,0.61,0.56,0.48,0.51,0.6,0.7
rectracker.csv,0.37,0.4,0.4,0.38,0.53,0.46
wxlua.csv,0.43,0.52,0.9,0.38,0.51,0.54
x4x.csv,0.39,0.43,0.57,0.74,0.88,0.66
