,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.57,0.53,0.48,0.49,0.65,0.87,0.94,0.94,0.74,0.68,0.55,0.54,0.41,0.7
biopax.csv,0.51,0.35,0.49,0.36,0.42,0.53,0.44,0.41,0.39,0.39,0.47,0.49,0.35,0.55
gnupdate.csv,0.59,0.44,0.41,0.36,0.41,0.6,0.67,0.49,0.39,0.61,0.47,0.47,0.39,0.46
les-indemodables.csv,0.5,0.39,0.6,0.67,0.52,0.78,0.48,0.58,0.45,0.44,0.42,0.49,0.92,0.58
openxava.csv,0.44,0.79,0.44,0.48,0.44,0.37,0.38,0.36,0.4,0.4,0.38,0.47,0.97,0.9
ppcboot.csv,0.52,0.37,0.48,0.35,0.44,0.85,0.47,0.43,0.45,0.39,0.48,0.48,0.35,0.43
repositorium.csv,0.0,0.86,0.61,0.92,0.98,0.8,0.0,0.57,0.95,0.37,0.82,0.92,0.43,0.63
rsyslog.csv,0.46,0.42,0.51,0.39,0.48,0.5,0.84,0.4,0.49,0.41,0.36,0.88,0.35,0.92
simplewebservices.csv,0.52,0.39,0.36,0.36,0.42,0.58,0.46,0.42,0.4,0.39,0.45,0.49,0.43,0.51
ultimairis.csv,0.49,0.35,0.52,0.36,0.46,0.59,0.44,0.92,0.68,0.92,0.53,0.0,0.42,0.77
vars-redux.csv,0.52,0.45,0.33,0.45,0.65,0.56,0.44,0.53,0.79,0.39,0.43,0.48,0.39,0.71
wow-qrsk.csv,0.5,0.55,0.38,0.41,0.6,0.98,0.86,0.0,0.75,0.36,0.0,0.49,0.92,0.59
wxstudio.csv,0.45,0.57,0.83,0.4,0.5,0.68,0.45,0.65,0.49,0.75,0.44,0.88,0.89,0.68
xqilla.csv,0.0,0.74,0.5,0.72,0.58,0.84,0.74,0.43,0.62,0.9,0.67,0.0,0.96,0.94
