,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.93,0.36,0.41,0.73,0.49,0.85,0.36,0.9,0.54,0.9,0.99
ikvm.csv,0.39,0.82,0.52,0.33,0.41,0.2,0.7,0.27,0.96,0.31,0.18
libtorrent.csv,0.93,0.55,0.96,0.73,0.98,0.9,0.73,0.98,0.64,0.91,0.99
mcmc-jags.csv,0.49,0.64,0.85,0.73,0.8,0.65,0.69,0.9,0.54,0.87,0.97
moast.csv,0.23,0.32,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.33,0.97
olap-navigator.csv,0.84,0.41,0.89,0.6,0.67,0.85,0.49,0.98,0.64,0.91,1.0
pidgin.csv,0.46,0.59,0.37,0.27,0.76,0.7,0.43,0.69,0.93,0.8,0.99
salasaga.csv,0.49,0.73,0.44,0.73,0.63,0.55,0.4,0.5,0.82,0.85,0.28
sepgsql.csv,0.49,0.36,0.85,0.27,0.61,0.45,0.29,0.56,0.5,0.76,0.98
sigil.csv,0.77,0.41,0.22,0.27,0.38,0.35,0.53,0.83,0.25,0.86,1.0
xtreemfs.csv,0.69,0.55,0.93,0.6,0.86,0.9,0.52,0.92,0.68,0.86,0.98
