,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.59,0.37,0.1,0.52,0.28,0.2,0.17,0.59,0.41,0.48,0.72
ikvm.csv,0.74,0.2,0.72,0.38,0.56,0.37,0.72,0.7,0.98,0.7,0.69
libtorrent.csv,0.74,0.47,0.6,0.57,0.86,0.78,0.28,0.81,0.5,0.66,0.76
mcmc-jags.csv,0.41,0.63,0.87,0.17,0.64,0.66,0.56,0.57,0.3,0.69,0.83
moast.csv,0.33,0.53,1.0,1.0,1.0,1.0,0.28,1.0,1.0,0.28,0.03
olap-navigator.csv,0.07,0.43,0.51,0.19,0.33,0.17,0.11,0.54,0.55,0.46,0.93
pidgin.csv,0.19,0.47,0.15,0.05,0.38,0.2,0.28,0.19,0.78,0.36,0.48
salasaga.csv,0.59,0.73,0.42,0.57,0.38,0.52,0.44,0.11,0.3,0.61,0.55
sepgsql.csv,0.04,0.4,0.33,0.1,0.2,0.12,0.0,0.11,0.27,0.11,0.21
sigil.csv,0.26,0.53,0.05,0.02,0.16,0.06,0.22,0.14,0.1,0.43,0.93
xtreemfs.csv,0.22,0.4,0.68,0.36,0.77,0.55,0.22,0.3,0.55,0.28,0.38
