,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.85,0.39,0.24,0.46,0.61,0.63,0.52,0.78,0.28,0.9,0.95
ikvm.csv,0.46,0.78,0.06,0.28,0.5,0.14,0.76,0.3,0.26,0.43,0.28
libtorrent.csv,0.83,0.5,0.13,0.44,0.84,0.34,0.82,0.77,0.29,0.89,0.95
mcmc-jags.csv,0.59,0.51,0.09,0.67,0.78,0.29,0.77,0.78,0.33,0.87,0.93
moast.csv,0.33,0.31,0.09,0.42,0.84,0.32,0.31,0.74,0.26,0.48,0.98
olap-navigator.csv,0.89,0.41,0.14,0.56,0.75,0.65,0.65,0.83,0.27,0.91,0.94
pidgin.csv,0.6,0.53,0.17,0.38,0.8,0.55,0.58,0.76,0.29,0.85,0.96
salasaga.csv,0.56,0.53,0.09,0.44,0.71,0.29,0.54,0.63,0.47,0.86,0.42
sepgsql.csv,0.65,0.38,0.2,0.35,0.72,0.46,0.45,0.68,0.33,0.85,0.98
sigil.csv,0.82,0.38,0.2,0.4,0.53,0.44,0.67,0.86,0.28,0.89,0.94
xtreemfs.csv,0.77,0.52,0.12,0.46,0.8,0.42,0.66,0.86,0.28,0.9,0.97
