,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.65,0.76,0.0,0.0,0.0,0.1,0.2,0.23,0.21,0.55,0.0,0.3,0.0,0.55,0.12
e-bio-flow.csv,0.13,0.35,0.6,0.49,0.84,0.24,0.66,0.0,0.31,0.24,0.45,0.23,0.0,0.11,0.43
haggle.csv,0.64,0.81,0.6,0.7,0.6,0.6,0.54,0.44,0.81,0.62,0.2,0.6,0.71,0.4,0.53
hannosset.csv,0.09,0.26,0.26,0.05,0.38,0.11,0.36,0.0,0.2,0.54,0.82,0.3,0.14,0.39,0.23
jas.csv,0.7,0.67,0.0,0.63,0.34,0.39,0.48,0.82,0.22,0.7,0.2,0.61,0.77,0.63,0.21
jbpm.csv,0.09,0.11,0.0,0.79,0.0,0.19,0.24,0.0,0.11,0.0,0.0,0.05,0.29,0.11,0.1
jgossipforum.csv,0.62,0.61,0.18,0.2,0.0,0.45,0.43,0.99,0.41,0.75,0.0,0.58,0.0,0.32,0.45
joustsim.csv,0.59,0.4,0.27,0.75,0.36,0.56,0.37,0.9,0.91,0.72,0.58,0.69,0.63,0.45,0.6
log4net.csv,0.26,0.21,0.64,0.27,0.97,0.09,0.45,0.0,0.73,0.53,0.57,0.17,0.0,0.16,0.39
madman.csv,0.37,0.61,0.18,0.15,0.66,0.5,0.54,0.23,0.53,0.94,0.37,0.45,0.37,0.65,0.21
ngl.csv,0.41,0.71,0.65,0.66,0.72,0.35,0.66,0.73,0.77,0.71,0.55,0.67,0.66,0.27,0.64
nunit.csv,0.53,0.36,0.62,0.64,0.37,0.42,0.56,0.77,0.48,0.59,0.42,0.45,0.28,0.29,0.7
piccolo2d.csv,0.13,0.27,0.82,0.29,0.71,0.27,0.48,0.0,0.41,0.66,0.38,0.19,0.0,0.17,0.33
sblim.csv,0.42,0.85,0.65,0.47,0.0,0.19,0.54,0.0,0.5,0.61,0.51,0.55,0.0,0.47,0.32
wsmt.csv,0.23,0.49,0.1,0.51,0.38,0.15,0.37,0.0,0.42,0.0,0.2,0.28,0.41,0.77,0.46
