,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.63,0.77,0.0,0.0,0.0,0.08,0.17,0.2,0.18,0.5,0.0,0.26,0.0,0.83,0.1
e-bio-flow.csv,0.11,0.32,0.62,0.58,1.0,0.2,0.63,0.0,0.27,1.0,0.83,0.19,0.0,0.09,0.4
haggle.csv,0.67,0.82,0.62,0.77,0.67,0.61,0.53,0.4,0.91,0.62,0.17,0.61,0.75,0.54,0.75
hannosset.csv,0.07,0.23,0.23,0.04,0.33,0.09,0.33,0.0,0.18,0.5,0.83,0.26,0.12,0.34,0.2
jas.csv,0.81,0.68,0.0,0.63,0.33,0.35,0.47,1.0,0.18,0.75,0.17,0.63,0.75,0.66,0.18
jbpm.csv,0.07,0.09,0.0,0.77,0.0,0.16,0.2,0.0,0.09,0.0,0.0,0.04,0.25,0.09,0.08
jgossipforum.csv,0.63,0.59,0.15,0.17,0.0,0.41,0.4,1.0,0.36,0.75,0.0,0.55,0.0,0.31,0.4
joustsim.csv,0.89,0.82,0.23,0.79,0.33,0.58,0.33,1.0,0.91,0.88,0.83,0.81,0.62,0.43,0.75
log4net.csv,0.22,0.18,0.62,0.23,1.0,0.07,0.43,0.0,0.73,0.5,0.67,0.14,0.0,0.14,0.35
madman.csv,0.33,0.68,0.15,0.13,0.67,0.46,0.53,0.2,0.55,1.0,0.33,0.41,0.38,0.8,0.18
ngl.csv,1.0,0.82,1.0,0.98,1.0,0.96,0.87,0.8,0.82,1.0,0.83,0.66,0.75,1.0,0.8
nunit.csv,0.59,0.32,0.62,0.83,0.33,0.39,0.67,0.8,0.45,0.62,0.5,0.44,0.25,0.26,0.7
piccolo2d.csv,0.11,0.23,0.85,0.25,0.67,0.23,0.43,0.0,0.36,0.62,0.33,0.16,0.0,0.14,0.28
sblim.csv,0.37,0.86,0.62,0.42,0.0,0.16,0.5,0.0,0.45,0.88,0.5,0.62,0.0,0.51,0.28
wsmt.csv,0.19,0.45,0.08,0.48,0.33,0.12,0.33,0.0,0.45,0.0,0.17,0.24,0.38,0.74,0.45
