,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,wxstudio.csv,simplewebservices.csv,uwom.csv
acegisecurity.csv,0.39,0.45,0.57,0.68,0.72,0.5
ppcboot.csv,0.72,0.88,0.48,1.0,1.0,0.86
simplewebservices.csv,0.83,0.86,0.98,0.68,0.47,0.89
uwom.csv,0.56,0.35,0.65,0.81,0.57,0.3
wow-qrsk.csv,0.61,0.3,0.59,0.97,0.8,0.28
wxstudio.csv,0.9,1.04,0.83,0.44,0.97,1.05
