,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.44,0.45,0.42,0.34
neoengine.csv,0.48,0.45,0.42,0.4
omseek.csv,0.96,0.69,0.71,0.67
pcsx2.csv,0.55,0.56,0.46,0.83
