,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.55,0.26,0.68,0.78
neoengine.csv,0.64,0.27,0.81,0.66
omseek.csv,0.27,0.4,0.43,0.07
pcsx2.csv,0.63,0.32,0.79,0.37
