,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.59,0.53,0.59,0.58,0.54
bdbbasic.csv,0.61,0.38,0.49,0.63,0.46
empyrean.csv,0.51,0.62,0.55,0.59,0.42
gnome-jabber.csv,0.49,0.41,0.42,0.42,0.52
nutz.csv,0.48,0.4,0.69,0.71,0.32
