,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.17,0.43,0.86,0.05,0.33,0.49,0.35,0.02,0.76,0.47,0.1,0.82,0.98,0.61,0.36
glelite.csv,0.14,0.42,0.6,0.06,0.33,0.61,0.45,0.02,0.59,0.49,0.05,0.72,1.0,0.62,0.4
hannosset.csv,0.1,0.0,0.56,0.3,0.67,0.62,0.0,0.0,0.44,0.05,0.24,0.0,0.94,0.6,0.0
ipfilter.csv,0.15,0.36,0.49,0.06,0.33,0.64,0.5,0.02,0.57,0.47,0.11,0.98,0.98,0.63,0.37
moving-pictures.csv,0.27,0.46,0.0,0.21,0.59,0.72,0.7,0.0,0.57,0.52,0.11,0.81,1.0,0.66,0.67
pclasses.csv,0.47,0.38,0.0,0.0,0.35,0.25,0.43,0.0,0.72,0.29,0.04,0.25,0.75,0.62,0.35
pfaedit.csv,0.0,0.48,0.0,0.12,0.45,0.88,0.78,0.0,0.55,0.88,0.08,1.0,1.0,0.7,0.47
qcad2.csv,0.14,0.53,0.84,0.06,0.57,0.65,0.57,0.0,0.56,0.83,0.09,0.83,0.99,0.62,0.46
rockbox.csv,0.27,0.44,0.0,0.13,0.57,0.72,0.53,0.0,0.46,0.19,0.1,0.79,1.0,0.57,0.65
roller.csv,0.15,0.39,0.58,0.06,0.35,0.65,0.49,0.02,0.8,0.37,0.08,0.7,0.98,0.61,0.39
theresa.csv,0.11,0.5,0.73,0.2,0.59,0.78,0.65,0.0,0.65,0.45,0.03,0.68,1.0,0.6,0.78
tzod.csv,0.17,0.52,0.83,0.25,0.56,0.77,0.25,0.0,0.69,0.75,0.05,0.71,1.0,0.63,0.56
xinity.csv,0.16,0.28,0.58,0.0,0.26,0.59,0.45,0.0,0.65,0.47,0.13,0.64,0.97,0.74,0.28
zabbix.csv,0.18,0.47,0.74,0.3,0.45,0.64,0.5,0.0,0.6,0.73,0.07,0.6,1.0,0.6,0.48
