,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.42,0.45,0.68,0.39,0.33,0.28,0.46,0.41,0.38
jicarilla.csv,0.8,0.0,0.79,0.5,0.0,0.0,0.5,0.5,0.97
optalgtoolkit.csv,0.59,0.56,0.61,0.44,0.65,0.5,0.48,0.33,0.57
oscarmcmaster.csv,0.47,0.53,0.62,0.47,0.42,0.35,0.83,0.35,0.51
ossim.csv,0.9,0.7,0.61,0.61,0.67,0.47,0.53,0.32,0.51
projectts.csv,0.46,0.5,0.67,0.57,0.34,0.39,0.65,0.9,0.39
sabbu.csv,0.46,0.49,0.89,0.46,0.55,0.67,0.53,0.83,0.5
vxl.csv,0.49,0.62,0.67,0.66,0.53,0.34,0.89,0.86,0.53
zact.csv,0.66,0.94,0.9,0.68,0.61,0.0,0.55,0.62,0.81
