,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.63,0.7,0.24,0.89,0.83,0.96,0.82,0.96,0.68,1.06,0.73,0.82
miranda-icq.csv,0.67,0.62,0.87,0.98,0.72,0.94,0.68,0.96,0.5,1.05,0.61,0.57
pclasses.csv,0.36,0.62,1.0,1.02,0.92,1.0,0.95,0.96,1.0,0.72,0.66,0.71
pfaedit.csv,1.01,0.5,0.76,0.45,0.33,1.0,0.63,0.79,0.98,0.43,0.63,0.75
rockbox.csv,0.57,0.61,0.98,0.4,0.48,0.78,0.74,0.51,0.67,0.48,0.57,0.36
theresa.csv,1.05,0.58,0.63,0.22,0.5,1.0,0.55,0.73,0.73,0.42,0.64,0.63
thrust.csv,1.0,0.97,0.95,1.0,0.82,0.54,0.89,0.92,0.93,0.92,0.89,0.89
tktoolkit.csv,1.03,0.79,0.91,1.0,0.7,0.68,0.71,0.57,0.92,1.18,0.84,0.7
trinitycore.csv,0.62,0.65,0.98,0.52,0.9,0.74,0.8,0.84,0.76,0.52,0.53,0.75
tzod.csv,0.9,0.5,0.7,0.24,0.6,0.91,0.67,0.85,0.71,1.06,0.64,0.8
yaprm.csv,0.74,0.65,1.0,0.4,0.71,0.77,0.43,0.63,0.92,1.09,0.67,0.8
