,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.39,0.85,0.38,0.3,0.44,0.48,0.44,0.09,0.33,0.32,0.36
libtorrent.csv,0.61,0.43,0.62,0.61,0.4,0.72,0.57,0.59,0.75,0.67,0.24
mcmc-jags.csv,0.54,0.6,0.58,0.86,0.62,0.6,0.66,0.54,0.54,0.62,0.69
natpad.csv,0.49,0.71,0.09,0.66,0.67,0.56,0.68,0.77,0.5,0.76,0.71
nebuladevice.csv,0.5,0.06,0.0,0.56,0.0,0.37,0.28,0.0,0.72,0.73,0.0
olap-navigator.csv,0.84,0.39,0.79,0.57,0.63,0.46,0.55,0.56,0.67,0.82,0.45
pidgin.csv,0.61,0.57,0.48,0.31,0.76,0.46,0.5,0.59,0.31,0.7,0.52
salasaga.csv,0.5,0.61,0.36,0.57,0.64,0.46,0.69,0.71,0.24,0.75,0.65
sepgsql.csv,0.59,0.39,0.78,0.31,0.65,0.36,0.56,0.53,0.09,0.78,0.55
xstore.csv,0.51,0.36,0.13,0.45,0.62,0.37,0.69,0.64,0.43,0.55,0.48
xtreemfs.csv,0.71,0.46,0.24,0.6,0.59,0.56,0.7,0.58,0.09,0.84,0.73
