,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.65,0.54,0.5,0.82,0.66,0.46,0.67,0.55,0.52,0.61,0.74
libtorrent.csv,0.49,0.45,0.4,0.58,0.38,0.38,0.46,0.59,0.38,0.34,0.43
mcmc-jags.csv,0.4,0.48,0.49,0.6,0.38,0.42,0.45,0.46,0.37,0.33,0.38
natpad.csv,0.55,0.38,0.41,0.48,0.38,0.45,0.45,0.41,0.56,0.35,0.4
nebuladevice.csv,0.57,0.83,0.0,0.5,0.0,0.7,0.96,0.0,0.56,0.43,0.0
olap-navigator.csv,0.61,0.53,0.49,0.67,0.44,0.53,0.6,0.48,0.52,0.36,0.62
pidgin.csv,0.5,0.41,0.59,0.88,0.35,0.5,0.52,0.42,0.93,0.44,0.45
salasaga.csv,0.4,0.34,0.61,0.55,0.4,0.52,0.45,0.41,0.88,0.35,0.44
sepgsql.csv,0.65,0.5,0.55,0.86,0.43,0.63,0.53,0.62,0.75,0.43,0.5
xstore.csv,0.39,0.56,0.41,0.67,0.35,0.61,0.44,0.42,0.53,0.31,0.42
xtreemfs.csv,0.48,0.44,0.44,0.76,0.4,0.47,0.46,0.53,0.92,0.37,0.46
