,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.85,0.22,0.92,0.85,0.74,0.84,0.84,0.99,0.94,0.95,0.89
libtorrent.csv,0.74,0.73,0.74,0.64,0.88,0.36,0.77,0.69,0.58,0.68,0.94
mcmc-jags.csv,0.7,0.68,0.75,0.21,0.69,0.68,0.69,0.56,0.78,0.73,0.59
natpad.csv,0.58,0.56,0.98,0.59,0.55,0.57,0.66,0.47,0.64,0.52,0.44
nebuladevice.csv,0.83,0.97,1.0,0.75,1.0,0.73,0.82,1.0,0.4,0.44,1.0
olap-navigator.csv,0.18,0.73,0.47,0.5,0.49,0.59,0.62,0.58,0.46,0.38,0.62
pidgin.csv,0.44,0.56,0.61,0.74,0.38,0.66,0.6,0.54,0.75,0.42,0.59
salasaga.csv,0.73,0.69,0.79,0.66,0.49,0.66,0.54,0.41,0.82,0.55,0.45
sepgsql.csv,0.46,0.75,0.36,0.74,0.44,0.69,0.52,0.56,0.93,0.27,0.52
xstore.csv,0.77,0.74,0.97,0.6,0.74,0.69,0.41,0.5,0.73,0.79,0.84
xtreemfs.csv,0.39,0.74,0.94,0.55,0.75,0.57,0.6,0.65,0.95,0.32,0.54
