,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.04,0.98,0.15,0.47,0.25,0.43,0.08,0.0,0.0,0.26,0.08,0.03,0.0,0.0,0.15
chaperon.csv,0.39,0.2,0.0,0.09,0.15,0.06,0.27,0.0,1.0,0.15,0.0,0.31,0.29,0.09,0.19
co-ode-owl-plugins.csv,0.44,0.65,0.94,0.48,0.82,0.5,0.55,0.08,0.0,0.34,0.02,0.84,0.15,0.37,0.08
e-bio-flow.csv,0.21,0.43,0.26,0.45,0.37,0.97,0.16,0.17,0.0,0.36,0.0,0.14,0.0,0.1,0.51
free-evolution.csv,0.34,0.41,0.14,0.45,0.49,0.43,0.38,0.0,0.18,0.26,0.0,0.35,0.0,0.95,0.48
jaxlib.csv,0.0,0.16,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.23,0.0
jmonkeyengine.csv,0.38,0.49,0.11,1.0,0.42,0.35,0.44,0.0,0.0,0.43,0.0,0.52,0.09,0.24,0.0
jmule.csv,0.47,0.66,0.33,0.45,0.62,0.59,0.5,0.09,0.05,0.33,0.04,0.57,0.11,0.34,0.96
kaffeine.csv,0.98,0.58,0.14,0.38,0.5,0.45,0.56,0.08,0.09,0.4,0.02,0.98,0.06,0.37,0.63
nodal.csv,0.64,0.49,0.31,0.36,0.58,0.33,0.38,0.0,0.0,0.95,0.0,0.23,0.2,0.29,0.6
ogrehg.csv,0.68,0.51,0.1,0.45,0.53,0.51,0.94,0.0,0.0,0.22,0.0,0.53,0.07,0.31,0.0
onotoa.csv,0.83,0.19,0.15,0.17,0.99,0.46,0.51,0.14,0.21,0.44,0.04,0.87,0.14,0.34,0.08
papertoolkit.csv,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08
