,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.0,5.0,2.0,3.0,1.0,0.0,49.0,51.0,1.0,4.0,0.0,62.0,139.0,0.0
chaperon.csv,0.0,0.0,109.0,2.0,0.0,0.0,0.0,49.0,0.0,1.0,117.0,0.0,0.0,5.0,2.0
co-ode-owl-plugins.csv,0.0,1.0,0.0,0.0,0.0,4.0,1.0,25.0,51.0,0.0,68.0,0.0,3.0,3.0,0.0
e-bio-flow.csv,1.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,51.0,0.0,117.0,0.0,62.0,3.0,0.0
free-evolution.csv,0.0,4.0,3.0,0.0,0.0,3.0,2.0,49.0,3.0,1.0,117.0,0.0,62.0,0.0,3.0
jaxlib.csv,59.0,1.0,109.0,67.0,0.0,81.0,345.0,0.0,51.0,85.0,117.0,0.0,62.0,0.0,52.0
jmonkeyengine.csv,0.0,3.0,9.0,0.0,0.0,1.0,1.0,49.0,51.0,0.0,117.0,0.0,8.0,15.0,52.0
jmule.csv,3.0,1.0,4.0,0.0,2.0,2.0,1.0,21.0,25.0,2.0,36.0,0.0,4.0,7.0,0.0
kaffeine.csv,0.0,4.0,6.0,1.0,0.0,1.0,1.0,25.0,20.0,3.0,63.0,0.0,24.0,16.0,7.0
nodal.csv,2.0,8.0,2.0,0.0,0.0,6.0,0.0,49.0,51.0,0.0,117.0,0.0,0.0,5.0,0.0
ogrehg.csv,0.0,3.0,25.0,0.0,0.0,1.0,0.0,49.0,51.0,2.0,117.0,0.0,15.0,12.0,52.0
onotoa.csv,0.0,5.0,13.0,0.0,0.0,1.0,1.0,3.0,17.0,7.0,42.0,0.0,19.0,17.0,0.0
papertoolkit.csv,0.0,52.0,109.0,67.0,89.0,81.0,1.0,49.0,51.0,85.0,117.0,196.0,0.0,139.0,0.0
