,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.52,0.52,0.58,0.52,0.6,0.51,0.36,0.5,0.16,0.84
geotools.csv,0.4,0.66,0.78,0.38,0.59,0.38,0.64,0.46,0.3,0.69
gephex.csv,0.37,0.37,0.56,0.0,0.5,0.73,0.64,0.68,0.49,0.43
haggle.csv,0.06,0.67,0.57,0.06,0.47,0.5,0.49,0.44,0.17,0.13
java-gnome.csv,0.23,0.39,0.41,0.82,0.41,0.45,0.53,0.22,0.33,0.58
jgnash.csv,0.38,0.55,0.67,0.56,0.46,0.57,0.55,0.5,0.38,0.5
jrdf.csv,0.12,0.19,0.44,0.79,0.49,0.74,0.41,0.17,0.42,0.36
mpqc.csv,0.62,0.27,0.14,0.3,0.45,0.16,0.22,0.49,0.51,0.52
panda3d.csv,0.38,0.51,0.51,0.44,0.53,0.23,0.58,0.41,0.22,0.14
tencompetence.csv,0.44,0.27,0.55,0.64,0.5,0.26,0.43,0.09,0.79,0.13
