,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,1.0,0.0,27.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0
geotools.csv,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0
gephex.csv,1.0,0.0,37.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0
haggle.csv,3.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0
java-gnome.csv,2.0,0.0,5.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0
jgnash.csv,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
jrdf.csv,4.0,1.0,28.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0
mpqc.csv,1.0,0.0,47.0,0.0,3.0,3.0,32.0,0.0,0.0,0.0
panda3d.csv,3.0,0.0,15.0,0.0,3.0,5.0,19.0,0.0,0.0,2.0
tencompetence.csv,0.0,2.0,48.0,1.0,1.0,7.0,33.0,2.0,0.0,0.0
