,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.36,0.86,0.32,0.59,0.91,0.54,0.47,0.3,0.94,0.91,0.92,0.55,0.87,0.12,1.0,0.94
fbmanager.csv,0.0,0.0,0.26,0.0,0.0,0.17,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0
fityk.csv,0.51,0.43,0.32,0.48,0.87,0.25,0.58,0.07,0.83,0.92,0.27,0.59,0.46,0.0,1.0,0.8
fleet-simulator.csv,0.75,0.9,0.68,0.85,0.67,0.71,0.84,0.87,0.84,0.26,0.69,0.82,0.99,0.0,1.0,0.67
google-caja.csv,0.29,0.86,0.23,0.44,0.81,0.33,0.79,0.27,0.88,0.54,0.57,0.82,0.93,0.0,1.0,0.8
itext.csv,0.15,0.62,0.61,0.7,0.62,0.25,0.63,0.2,0.71,0.48,0.32,0.55,0.53,0.12,0.0,0.56
k3b.csv,0.62,0.81,1.0,0.96,0.97,0.67,1.0,0.7,0.87,1.0,0.98,0.95,0.92,1.0,1.0,0.99
megameknet.csv,0.15,0.0,0.1,0.0,0.24,0.25,0.16,0.03,0.65,0.1,0.08,0.23,0.06,0.0,0.0,0.24
myfaces.csv,0.0,0.05,0.06,0.04,0.02,0.04,0.05,0.03,0.1,0.01,0.04,0.05,0.02,0.0,0.0,0.12
ondex.csv,0.03,0.05,0.0,0.0,0.13,0.08,0.0,0.03,0.11,0.01,0.01,0.05,0.02,0.0,0.0,0.23
paintown.csv,0.15,0.43,0.77,0.96,0.84,0.33,0.53,0.53,0.83,0.96,0.95,0.5,0.85,1.0,1.0,0.95
powerfolder.csv,0.03,0.0,0.1,0.0,0.02,0.08,0.0,0.0,0.02,0.0,0.02,0.09,0.01,0.0,0.0,0.03
smartgwt.csv,0.6,0.43,0.65,1.0,0.28,0.67,0.95,0.83,0.79,0.02,0.74,0.45,0.53,1.0,1.0,0.9
triplea.csv,0.3,0.24,0.19,0.56,0.77,0.5,0.42,0.33,0.39,0.26,0.23,0.32,0.66,0.0,0.0,0.37
xamj.csv,0.12,0.14,0.16,0.56,0.24,0.17,0.32,0.1,0.26,0.05,0.39,0.14,0.07,0.0,0.0,0.11
