,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.58,0.63,0.31,0.76,0.42,0.47,0.65,0.59,0.49,0.46,0.57,0.62,0.4,0.46,0.72
amateur-scrolls.csv,0.2,0.0,0.27,0.24,0.0,0.1,0.08,0.08,0.53,0.32,0.17,0.0,0.2,0.23,0.53
biopax.csv,0.97,0.7,1.0,0.85,0.73,1.0,0.88,0.84,0.96,1.0,0.98,0.94,0.1,0.85,1.0
crux-framework.csv,0.18,0.03,0.24,0.2,0.04,0.1,0.1,0.32,0.05,0.21,0.5,0.29,0.15,0.23,0.11
exl.csv,0.5,0.57,0.59,0.67,0.46,0.25,0.21,0.32,0.42,0.48,0.5,0.17,0.7,0.23,0.82
ikvm.csv,0.72,0.2,0.38,0.61,0.77,0.86,0.84,0.76,0.82,0.49,0.61,0.58,0.8,0.69,0.53
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
les-indemodables.csv,0.52,0.4,0.6,0.37,0.23,0.45,0.4,0.22,0.55,0.92,0.55,0.32,0.3,0.38,0.65
lportal.csv,0.02,0.07,0.08,0.0,0.0,0.06,0.0,0.0,0.09,0.18,0.06,0.29,0.0,0.15,0.03
ns-3-dev-def-routing.csv,0.38,0.4,0.64,0.17,0.23,0.45,0.61,0.3,0.56,0.69,0.39,0.78,0.2,0.23,0.58
qpe.csv,0.28,0.1,0.38,0.17,0.42,0.51,0.86,0.54,0.04,0.35,0.61,0.34,0.3,0.08,0.49
sigil.csv,0.28,0.43,0.55,0.76,0.23,0.45,0.65,0.19,0.29,0.65,0.51,0.58,0.1,0.62,0.86
ultimairis.csv,0.35,0.63,1.0,0.24,0.27,0.69,0.23,0.14,0.91,0.99,0.51,0.48,0.1,0.46,0.71
unflobtactical.csv,0.41,0.57,0.64,0.59,0.31,0.45,0.73,0.41,0.85,0.82,0.48,0.92,0.45,0.62,0.92
xbg.csv,0.38,0.2,0.05,0.13,0.38,0.59,0.17,0.35,0.27,0.26,0.03,0.4,0.15,0.38,0.04
