,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.59,0.06,0.07,0.02,0.0,0.97,0.0,0.0,0.22,0.02
fityk.csv,0.75,0.41,0.62,0.54,0.64,0.28,0.56,0.71,0.51,0.61
freenet.csv,0.53,0.7,0.66,0.54,0.42,0.59,0.68,0.31,0.62,0.59
geogebra.csv,0.69,0.32,0.63,0.54,0.71,0.29,0.57,0.53,0.45,0.68
hibernate.csv,0.47,0.6,0.61,0.58,0.51,0.94,0.71,0.48,0.58,0.62
itext.csv,0.69,0.05,0.41,0.61,0.73,0.05,0.21,0.65,0.24,0.6
k3b.csv,0.78,0.27,0.65,0.69,0.7,0.43,0.09,0.7,0.57,0.3
lamp.csv,0.6,0.31,0.61,0.59,0.7,0.49,0.66,0.61,0.53,0.65
megameknet.csv,0.54,0.51,0.69,0.6,0.67,0.0,0.69,0.63,0.54,0.59
thout.csv,0.0,0.64,0.34,0.35,0.0,0.33,0.32,0.2,0.29,0.24
