,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.74,0.95,0.95,0.98,1.0,0.13,1.0,1.0,0.82,0.98
fityk.csv,0.44,0.89,0.7,0.59,0.57,0.84,0.76,0.45,0.6,0.63
freenet.csv,0.74,0.51,0.56,0.76,0.87,0.78,0.65,0.94,0.72,0.73
geogebra.csv,0.59,0.73,0.64,0.54,0.54,0.8,0.49,0.59,0.64,0.42
hibernate.csv,0.64,0.72,0.47,0.69,0.58,0.23,0.42,0.84,0.53,0.53
itext.csv,0.46,0.99,0.88,0.56,0.36,0.99,0.95,0.66,0.94,0.76
k3b.csv,0.35,0.94,0.68,0.43,0.57,0.88,0.98,0.52,0.77,0.92
lamp.csv,0.49,0.74,0.59,0.76,0.51,0.74,0.44,0.66,0.6,0.68
megameknet.csv,0.53,0.82,0.54,0.55,0.65,1.09,0.4,0.65,0.64,0.74
thout.csv,1.0,0.45,0.91,0.93,1.0,0.91,0.92,0.96,0.92,0.94
