,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.21,0.0,0.28,0.23,0.51,0.43,0.13,0.05,1.0,0.82,0.27,0.27,0.75
badtrinity-zero.csv,0.47,0.35,0.97,0.69,0.32,0.57,0.69,0.61,0.49,0.62,0.52,0.56,0.59
betoffice.csv,0.48,0.4,0.65,0.52,0.92,0.05,0.41,0.42,0.05,0.29,0.45,0.58,0.0
exordium.csv,0.21,0.13,0.29,0.32,0.16,0.67,1.0,0.57,0.55,0.64,0.29,0.19,0.73
fltk.csv,0.07,0.13,0.38,0.9,0.09,0.58,0.69,0.67,0.31,0.87,0.36,0.07,0.64
gabel.csv,0.0,0.0,0.0,0.01,0.0,0.05,0.06,0.02,0.05,1.0,0.01,0.0,0.24
genoviz.csv,0.0,0.0,0.04,0.05,0.02,0.3,0.13,0.02,0.1,0.15,0.02,0.04,1.0
irrlicht.csv,0.51,0.09,0.31,0.24,0.35,0.43,0.63,0.36,0.36,0.65,0.98,0.45,0.72
nug.csv,0.95,0.46,0.36,0.23,0.4,0.52,0.55,0.26,0.45,0.74,0.53,0.56,0.82
rezilla.csv,0.48,0.87,0.49,0.58,0.5,0.6,0.6,0.47,0.68,0.48,0.53,0.37,0.27
toped.csv,0.54,0.2,0.51,0.48,0.5,0.26,0.38,1.0,0.14,0.48,0.34,0.41,0.24
xmemcached.csv,0.51,0.35,0.45,0.38,0.28,1.0,0.46,0.26,0.28,0.8,0.41,0.65,0.74
zoolib.csv,0.0,0.06,0.11,0.32,0.11,0.44,0.3,0.29,0.32,0.29,0.11,0.81,0.65
