,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.18,0.0,0.24,0.2,0.51,0.39,0.11,0.04,1.0,0.88,0.23,0.23,0.8
badtrinity-zero.csv,0.65,0.32,0.96,0.76,0.29,0.57,0.74,0.63,0.92,0.62,0.49,0.55,0.8
betoffice.csv,0.76,0.37,0.68,0.5,0.91,0.04,0.42,0.37,0.04,0.25,0.44,0.74,0.0
exordium.csv,0.18,0.11,0.25,0.28,0.13,0.65,1.0,0.55,0.52,0.62,0.25,0.16,0.8
fltk.csv,0.06,0.11,0.33,0.89,0.07,0.57,0.68,0.65,0.28,1.0,0.32,0.06,0.8
gabel.csv,0.0,0.0,0.0,0.01,0.0,0.04,0.05,0.02,0.04,1.0,0.01,0.0,0.2
genoviz.csv,0.0,0.0,0.03,0.04,0.02,0.26,0.11,0.02,0.08,0.12,0.02,0.03,1.0
irrlicht.csv,1.0,0.84,0.81,0.95,0.31,0.39,0.95,0.86,0.72,1.0,0.99,0.9,0.8
nug.csv,0.94,0.53,0.32,0.19,0.36,0.52,0.53,0.25,0.44,0.88,0.53,0.55,1.0
rezilla.csv,0.59,0.84,0.68,0.61,0.73,0.83,0.68,0.65,0.96,0.88,0.52,0.35,1.0
toped.csv,0.76,0.84,0.58,0.74,0.47,0.22,0.84,1.0,0.12,0.88,0.84,0.9,0.2
xmemcached.csv,0.47,0.53,0.43,0.35,0.24,1.0,0.42,0.27,0.24,0.88,0.38,0.68,0.8
zoolib.csv,0.0,0.05,0.09,0.27,0.09,0.39,0.26,0.25,0.28,0.25,0.09,0.77,0.6
