,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.83,1.0,0.79,0.84,0.68,0.64,0.89,0.96,0.0,0.36,0.81,0.83,0.45
badtrinity-zero.csv,0.85,0.79,0.04,0.56,0.82,0.61,0.53,0.58,0.83,0.53,0.61,0.61,0.74
betoffice.csv,0.84,0.72,0.53,0.63,0.1,1.01,0.87,0.64,0.97,0.8,0.77,0.74,1.01
exordium.csv,0.83,0.9,0.76,0.73,0.88,0.41,0.0,0.56,0.57,0.46,0.76,0.85,0.51
fltk.csv,0.95,0.91,0.69,0.13,0.94,0.56,0.41,0.42,0.88,0.43,0.73,0.94,0.67
gabel.csv,1.0,1.0,1.0,0.99,1.0,0.96,0.95,0.98,0.96,0.0,0.99,1.0,0.8
genoviz.csv,1.0,1.0,0.97,0.96,0.98,0.74,0.89,0.98,0.92,0.88,0.98,0.97,0.0
irrlicht.csv,0.83,0.99,0.93,0.94,0.75,0.68,0.73,0.9,0.92,0.73,0.04,0.86,0.53
nug.csv,0.06,0.85,0.75,0.82,0.71,0.67,0.59,1.0,0.75,0.57,0.65,0.62,0.53
rezilla.csv,0.83,0.16,0.83,0.64,0.82,0.74,0.67,0.85,0.69,0.84,0.63,0.81,0.93
toped.csv,0.79,0.96,0.77,0.84,0.64,0.83,0.89,0.0,1.0,0.84,0.92,0.87,0.81
xmemcached.csv,0.56,0.97,0.73,0.76,0.79,0.0,0.64,1.06,0.81,0.44,0.75,0.56,0.49
zoolib.csv,1.0,0.95,0.92,0.73,0.92,0.61,0.74,0.75,0.73,0.76,0.92,0.23,0.4
