,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.45,0.47,0.41,0.49,0.81,0.73,0.61,0.51,0.63,0.69,0.63,0.59,0.64,0.48,0.61,0.03,0.54,0.79
cornerstone.csv,0.51,0.49,0.41,0.72,0.69,0.59,0.59,0.5,0.62,0.72,0.06,0.57,0.62,0.83,0.6,0.55,0.55,0.81
emeraldemu.csv,0.68,0.57,0.41,0.58,0.77,0.79,0.71,0.07,0.67,0.88,0.91,0.64,0.65,0.67,0.65,0.54,0.27,0.71
grafx2.csv,0.41,0.63,0.63,0.82,0.73,0.71,0.56,0.45,0.61,0.71,0.69,0.55,0.57,0.0,0.53,0.5,0.53,0.65
jahshakafx.csv,0.04,0.6,0.56,0.88,0.81,0.83,0.83,0.57,0.74,0.81,0.82,0.79,0.8,0.69,0.73,0.63,0.27,0.78
maya-work-in-progress.csv,0.56,0.62,0.64,0.61,0.53,0.64,0.71,0.65,0.61,0.03,0.74,0.66,0.67,0.68,0.82,0.63,0.69,0.45
novembre.csv,0.62,0.57,0.52,0.89,0.84,0.8,0.07,0.56,0.9,0.82,0.76,0.89,0.75,0.77,0.8,0.54,0.28,0.82
ns-3.csv,0.72,0.51,0.8,0.83,0.83,0.01,0.93,0.79,0.61,0.65,0.6,1.0,0.74,1.0,0.75,0.79,0.62,0.62
nullc.csv,0.79,1.0,1.0,1.0,0.09,0.89,0.93,0.81,0.93,0.97,0.59,0.81,0.96,0.51,0.82,0.94,0.82,0.4
open-beos.csv,0.43,0.56,0.4,0.53,0.86,0.64,0.71,0.53,0.03,0.75,0.69,0.59,0.59,0.73,0.78,0.48,0.63,0.65
pixel-commandos.csv,0.84,0.67,0.8,0.82,0.88,0.93,0.87,0.74,0.97,0.97,0.98,1.0,0.92,0.93,0.84,0.9,0.0,0.93
planeshift.csv,0.51,0.59,0.68,0.79,0.61,0.67,0.79,0.62,0.64,0.81,0.69,0.7,0.03,0.39,0.57,0.77,0.81,0.82
plee-the-bear.csv,0.92,0.97,0.12,0.96,1.06,0.83,0.86,0.88,0.87,0.83,0.75,0.73,0.79,0.98,0.96,0.89,1.02,1.08
reaper-ecad.csv,0.87,0.98,0.91,0.08,0.94,0.89,0.64,0.74,0.83,0.94,0.8,0.96,0.78,0.73,0.88,0.74,0.84,0.9
sbml.csv,0.37,0.64,0.58,0.46,0.62,0.64,0.75,0.58,0.62,0.48,0.55,0.46,0.67,0.55,0.06,0.58,0.63,0.75
unimrcp.csv,0.69,0.61,0.61,0.68,0.79,0.92,0.68,0.69,0.83,0.78,0.8,0.08,0.84,0.73,0.78,0.7,1.01,0.81
unladen-swallow.csv,0.89,0.46,0.84,0.87,1.02,0.8,0.65,0.83,0.88,0.94,0.89,0.84,0.78,0.79,1.01,0.95,1.23,1.0
zxing.csv,0.43,0.67,0.52,0.6,0.72,0.67,0.53,0.59,0.76,0.79,0.8,1.0,0.62,1.0,0.52,0.64,0.51,0.02
