,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.52,0.21,0.13,0.22,0.91,0.79,0.33,0.63,0.73,0.77,0.59,0.46,0.9,0.85,0.91,1.0,0.1,0.92
cornerstone.csv,0.5,0.23,0.13,0.23,0.94,0.77,0.34,0.5,0.72,1.0,0.96,0.37,0.84,0.54,0.86,0.66,0.06,0.92
emeraldemu.csv,0.34,0.24,0.24,0.24,0.92,0.77,0.33,1.0,0.74,0.8,0.43,0.5,0.84,1.0,0.77,0.76,0.23,0.78
grafx2.csv,0.53,0.15,0.08,0.1,0.82,0.76,0.36,0.56,0.51,0.46,0.52,0.36,0.87,1.0,0.81,0.7,0.07,0.8
jahshakafx.csv,0.98,0.22,0.17,0.17,0.91,0.84,0.25,0.54,0.51,1.0,0.44,0.4,0.82,0.7,0.91,0.79,0.25,0.74
maya-work-in-progress.csv,0.42,0.15,0.08,0.17,0.88,0.71,0.32,0.37,0.48,1.0,0.55,0.35,0.8,0.62,0.72,0.64,0.05,0.87
novembre.csv,0.63,0.25,0.12,0.1,1.0,0.83,1.0,0.54,0.45,0.55,0.8,0.43,0.9,0.83,0.68,0.82,0.21,0.79
ns-3.csv,0.36,0.18,0.07,0.11,0.76,1.0,0.27,0.32,0.48,0.45,0.58,0.27,0.78,0.52,0.68,0.59,0.05,0.8
nullc.csv,0.33,0.12,0.06,0.13,0.98,0.66,0.29,0.33,0.39,0.38,0.6,0.29,0.76,0.67,0.73,0.56,0.05,0.9
open-beos.csv,0.51,0.18,0.14,0.3,0.75,0.71,0.27,0.44,0.99,0.67,0.53,0.33,0.82,0.54,0.7,0.74,0.05,0.85
pixel-commandos.csv,0.76,0.22,0.1,0.1,1.0,0.79,1.0,0.69,0.8,1.0,0.5,0.0,1.0,1.0,1.0,0.82,1.0,1.0
planeshift.csv,0.44,0.17,0.08,0.13,0.86,0.7,0.3,0.38,0.46,0.37,0.55,0.32,0.99,0.78,0.77,0.58,0.04,0.75
plee-the-bear.csv,0.18,0.17,0.94,0.5,0.74,0.63,0.21,0.21,0.32,0.35,0.48,0.28,0.73,0.22,0.55,0.4,0.02,0.66
reaper-ecad.csv,0.29,0.04,0.05,1.0,0.8,0.66,0.31,0.31,0.38,0.39,0.47,0.09,0.74,0.71,0.68,0.57,0.05,0.75
sbml.csv,0.52,0.15,0.09,0.22,0.88,0.7,0.29,0.4,0.46,0.57,0.61,0.42,0.8,0.8,0.97,0.64,0.07,0.83
unimrcp.csv,0.49,0.26,0.21,0.27,0.92,0.75,0.5,0.6,0.74,0.88,0.46,0.96,0.92,0.8,1.0,0.72,0.0,0.8
unladen-swallow.csv,0.27,0.72,0.04,0.08,0.64,0.62,0.31,0.23,0.3,0.35,0.39,0.21,0.72,0.47,0.54,0.32,0.0,0.67
zxing.csv,0.53,0.16,0.1,0.18,0.83,0.7,0.44,0.44,0.6,0.39,0.48,0.0,0.83,0.0,0.81,0.61,0.07,1.0
