,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.59,0.92,0.55,0.62,0.39,0.5,0.7,0.67,0.52,0.9,0.92,0.41,0.67,0.62,0.64,0.64
betoffice.csv,0.75,0.52,0.5,0.67,0.61,0.94,0.48,0.57,0.85,0.76,0.92,0.74,0.7,0.76,0.76,0.81
bionote.csv,0.89,0.75,0.83,0.0,0.89,0.8,0.0,0.5,0.97,0.75,0.0,0.5,0.86,0.89,0.9,0.94
bnetd.csv,0.31,0.38,0.48,0.41,0.5,0.47,0.9,0.4,0.49,0.4,0.5,0.33,0.35,0.33,0.33,0.48
emisview.csv,0.83,0.84,0.0,0.41,0.71,0.64,0.8,0.67,0.98,0.0,0.0,0.67,0.69,0.49,0.56,0.95
findbugs.csv,0.62,0.44,0.66,0.75,0.61,0.62,0.89,0.52,0.71,0.51,0.48,0.92,0.65,0.66,0.64,0.8
hazelcast.csv,0.31,0.32,0.45,0.33,0.35,0.3,0.37,0.36,0.35,0.51,0.37,0.31,0.37,0.3,0.29,0.32
jitterbit.csv,0.48,0.43,0.62,0.91,0.5,0.67,0.89,0.86,0.75,0.94,0.55,0.75,0.79,0.65,0.64,0.81
jppf-project.csv,0.35,0.39,0.66,0.4,0.41,0.33,0.47,0.4,0.42,0.5,0.42,0.35,0.4,0.46,0.34,0.49
kolmafia.csv,0.32,0.38,0.51,0.53,0.52,0.57,0.75,0.42,0.53,0.42,0.69,0.35,0.5,0.44,0.38,0.36
megasquirtavr.csv,0.33,0.39,0.85,0.4,0.35,0.31,0.41,0.42,0.39,0.51,0.42,0.33,0.36,0.34,0.33,0.37
qedo.csv,0.8,0.0,0.8,0.89,0.8,0.0,0.89,0.86,0.97,0.0,0.75,0.83,0.8,0.88,0.75,0.95
trackit.csv,0.67,0.96,0.65,0.82,0.72,0.76,0.54,0.86,0.65,0.85,0.84,0.55,0.9,0.76,0.89,0.63
wxlua.csv,0.5,0.4,0.55,0.47,0.45,0.93,0.47,0.45,0.63,0.52,0.51,0.67,0.5,0.61,0.5,0.59
x4x.csv,0.39,0.35,0.83,0.86,0.42,0.8,0.51,0.66,0.6,0.96,0.92,0.53,0.5,0.73,0.78,0.65
xharbour.csv,0.35,0.39,0.45,0.38,0.4,0.31,0.41,0.39,0.36,0.53,0.45,0.36,0.38,0.35,0.33,0.43
