,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.66,0.86,0.91,0.05,0.4,0.66,0.58,0.84,0.58,0.91,0.81,0.99,0.54,0.77,0.77,0.96
betoffice.csv,0.73,0.66,0.9,0.84,0.65,0.9,0.77,0.04,0.86,0.52,0.8,0.8,0.83,0.85,0.81,0.66
bionote.csv,0.85,0.95,0.8,1.0,0.86,0.87,0.98,0.98,0.83,0.95,0.97,0.98,0.12,0.88,0.83,0.96
bnetd.csv,0.69,1.0,0.47,0.57,0.53,0.53,0.94,0.9,0.52,0.68,0.03,1.0,0.56,0.67,0.88,0.94
emisview.csv,0.86,0.81,1.0,0.39,0.75,0.04,0.93,0.98,0.86,1.0,1.0,0.73,0.65,0.65,0.89,0.96
findbugs.csv,0.75,0.52,0.87,0.69,1.02,0.69,0.83,0.78,0.52,0.6,0.81,0.87,0.41,0.65,0.0,0.56
hazelcast.csv,0.84,0.55,0.49,0.68,0.0,0.96,0.87,0.77,0.91,1.0,0.59,1.0,0.87,0.75,0.91,0.69
jitterbit.csv,0.67,0.36,0.9,0.78,0.65,0.7,0.83,0.82,0.07,0.93,0.55,0.96,0.41,0.74,0.61,0.93
jppf-project.csv,0.92,1.0,0.89,1.0,0.54,0.93,0.82,0.98,0.99,1.0,1.0,0.0,0.83,0.65,0.85,0.9
kolmafia.csv,0.64,1.0,0.51,0.77,0.58,0.62,0.86,0.73,0.54,0.73,0.64,0.4,0.55,0.04,0.79,0.71
megasquirtavr.csv,0.67,1.0,0.35,1.0,0.33,0.94,0.84,0.85,0.75,1.0,1.0,0.89,0.95,0.82,0.92,0.77
qedo.csv,0.88,1.0,0.8,0.83,0.91,1.0,0.93,0.91,0.94,1.0,0.95,0.95,1.0,0.94,1.0,0.05
trackit.csv,0.69,0.97,0.62,0.86,0.74,0.84,0.05,0.96,0.71,0.76,0.82,0.73,0.89,0.75,0.71,1.11
wxlua.csv,0.92,0.9,0.96,0.92,1.01,0.89,0.8,0.77,0.71,0.25,0.96,0.65,0.84,0.88,0.76,0.97
x4x.csv,0.02,0.52,0.85,0.87,0.57,1.0,0.87,0.71,0.84,0.83,0.87,0.64,0.79,0.77,0.87,0.9
xharbour.csv,1.0,0.05,0.54,0.79,1.0,0.87,0.83,0.89,0.95,0.72,0.96,0.78,0.96,0.95,0.96,0.92
