,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.88,1.0,0.22,1.0,1.0,0.36,0.73,0.39,0.35,0.9,0.62,0.88,0.27,0.52,0.36,0.03
betoffice.csv,0.81,0.84,1.0,0.24,0.91,0.19,0.62,0.96,0.19,0.95,0.67,0.89,0.1,0.42,0.32,0.09
bionote.csv,0.78,1.0,0.67,0.0,0.89,0.6,1.0,0.5,0.7,1.0,1.0,1.0,1.0,0.67,0.5,0.06
bnetd.csv,0.81,0.82,0.34,0.41,1.0,0.42,0.4,0.5,0.39,0.92,1.0,0.92,0.22,0.63,0.33,0.07
emisview.csv,1.0,0.89,0.0,0.53,1.0,1.0,0.6,0.33,0.45,0.0,0.0,0.96,0.23,0.59,0.24,0.05
findbugs.csv,0.76,0.92,0.18,0.4,0.71,0.35,0.78,0.48,0.48,0.97,0.48,1.0,0.26,0.66,1.0,0.16
hazelcast.csv,0.79,0.87,0.36,0.39,1.0,0.3,0.61,0.51,0.27,0.92,0.61,0.92,0.13,0.6,0.34,0.11
jitterbit.csv,0.8,0.93,0.17,0.45,0.88,0.38,0.78,0.48,1.0,0.81,0.63,1.0,0.36,0.58,0.55,0.04
jppf-project.csv,0.77,0.82,0.18,0.32,0.9,0.29,0.63,0.49,0.2,0.92,0.53,1.0,0.13,0.59,0.41,0.07
kolmafia.csv,0.82,0.81,0.34,0.35,1.0,0.43,0.58,0.49,0.44,0.91,0.88,0.96,0.19,1.0,0.33,0.09
megasquirtavr.csv,0.83,0.82,1.0,0.32,0.94,0.31,0.65,0.44,0.28,0.91,0.53,0.92,0.12,0.58,0.38,0.09
qedo.csv,1.0,0.0,0.8,0.44,1.0,0.0,0.44,0.57,0.31,0.0,0.5,0.83,0.0,0.38,0.0,1.0
trackit.csv,0.83,0.62,0.4,0.23,0.84,0.24,1.0,0.29,0.28,0.91,0.44,0.91,0.1,0.62,0.47,0.01
wxlua.csv,0.72,0.83,0.2,0.29,0.83,0.21,0.66,0.53,0.28,0.98,0.46,0.93,0.11,0.43,0.36,0.04
x4x.csv,1.0,0.88,0.5,0.43,0.89,0.0,0.58,0.55,0.19,0.88,0.46,0.94,0.11,0.54,0.28,0.04
xharbour.csv,0.76,0.99,0.31,0.35,0.84,0.31,0.68,0.52,0.27,0.91,0.49,0.92,0.14,0.53,0.39,0.09
